
Grupe de varsta a sotului , Grupa de varsta a sotiei pentru casatorii, Ani, UM: Numar persoane, Valoare
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1995, Numar persoane, 113
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1996, Numar persoane, 134
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1997, Numar persoane, 113
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1998, Numar persoane, 86
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1999, Numar persoane, 109
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2000, Numar persoane, 73
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2001, Numar persoane, 76
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2002, Numar persoane, 71
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2003, Numar persoane, 69
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2004, Numar persoane, 71
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2005, Numar persoane, 97
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2006, Numar persoane, 138
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2007, Numar persoane, 72
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2008, Numar persoane, 52
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2009, Numar persoane, 30
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2010, Numar persoane, 27
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2011, Numar persoane, 22
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2012, Numar persoane, 17
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2013, Numar persoane, 21
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2014, Numar persoane, 22
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2015, Numar persoane, 28
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2016, Numar persoane, 31
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1990, Numar persoane, 8
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1991, Numar persoane, 15
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1992, Numar persoane, 13
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1993, Numar persoane, 9
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1994, Numar persoane, 6
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1995, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1996, Numar persoane, 8
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1997, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1998, Numar persoane, 18
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1999, Numar persoane, 15
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2000, Numar persoane, 24
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2001, Numar persoane, 22
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2002, Numar persoane, 22
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2003, Numar persoane, 21
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2004, Numar persoane, 24
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2005, Numar persoane, 36
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2006, Numar persoane, 49
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2007, Numar persoane, 12
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2008, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2009, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2010, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2011, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2012, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2013, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2014, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2015, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2016, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1991, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1992, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1995, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1996, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1997, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1998, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 1999, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2000, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2001, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2002, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2003, Numar persoane, 8
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2004, Numar persoane, 10
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2005, Numar persoane, 8
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2006, Numar persoane, 27
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2007, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2008, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2009, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2010, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2012, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2013, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2014, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2015, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2016, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1990, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1991, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1992, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1993, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1994, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1995, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 1999, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2000, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2001, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2002, Numar persoane, 7
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2003, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2004, Numar persoane, 4
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2005, Numar persoane, 5
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2006, Numar persoane, 8
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2008, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2009, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2012, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2014, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2016, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 1990, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 1991, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 1996, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 1997, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 2001, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 2003, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 2005, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 2006, Numar persoane, 3
Varsta sotului sub 20 ani, Varsta sotiei 45-49 ani, Anul 2010, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 1991, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 1992, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 1994, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 2003, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 2004, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 2005, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 50-54 ani, Anul 2006, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 55-59 ani, Anul 2005, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 55-59 ani, Anul 2011, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 1990, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 1993, Numar persoane, 2
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 1997, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 2001, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 2007, Numar persoane, 1
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 2014, Numar persoane, 1
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1990, Numar persoane, 40972
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1991, Numar persoane, 40976
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1992, Numar persoane, 39523
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1993, Numar persoane, 33981
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1994, Numar persoane, 29231
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1995, Numar persoane, 25983
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1996, Numar persoane, 23895
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1997, Numar persoane, 21689
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1998, Numar persoane, 19700
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1999, Numar persoane, 17005
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2000, Numar persoane, 14297
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2001, Numar persoane, 12183
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2002, Numar persoane, 11124
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2003, Numar persoane, 10835
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2004, Numar persoane, 10062
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2005, Numar persoane, 9322
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2006, Numar persoane, 9296
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2007, Numar persoane, 12722
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2008, Numar persoane, 7930
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2009, Numar persoane, 7008
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2010, Numar persoane, 5195
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2011, Numar persoane, 4219
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2012, Numar persoane, 3802
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2013, Numar persoane, 3251
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2014, Numar persoane, 3200
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2015, Numar persoane, 3342
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2016, Numar persoane, 3474
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1990, Numar persoane, 61465
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1991, Numar persoane, 61802
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1992, Numar persoane, 54700
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1993, Numar persoane, 42211
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1994, Numar persoane, 36306
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1995, Numar persoane, 34568
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1996, Numar persoane, 33653
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1997, Numar persoane, 33387
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1998, Numar persoane, 32877
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1999, Numar persoane, 31358
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2000, Numar persoane, 27963
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2001, Numar persoane, 24899
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2002, Numar persoane, 22534
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2003, Numar persoane, 20370
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2004, Numar persoane, 17911
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2005, Numar persoane, 15648
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2006, Numar persoane, 14770
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2007, Numar persoane, 18881
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2008, Numar persoane, 16378
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2009, Numar persoane, 15824
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2010, Numar persoane, 13058
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2011, Numar persoane, 11282
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2012, Numar persoane, 10331
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2013, Numar persoane, 8908
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2014, Numar persoane, 8668
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2015, Numar persoane, 8227
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2016, Numar persoane, 8491
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1990, Numar persoane, 3063
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1991, Numar persoane, 3217
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1992, Numar persoane, 4087
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1993, Numar persoane, 4785
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1994, Numar persoane, 4735
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1995, Numar persoane, 4691
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1996, Numar persoane, 4641
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1997, Numar persoane, 4585
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1998, Numar persoane, 4599
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1999, Numar persoane, 4613
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2000, Numar persoane, 4480
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2001, Numar persoane, 4318
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2002, Numar persoane, 4508
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2003, Numar persoane, 4683
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2004, Numar persoane, 4540
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2005, Numar persoane, 4113
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2006, Numar persoane, 3914
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2007, Numar persoane, 4048
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2008, Numar persoane, 3302
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2009, Numar persoane, 3050
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2010, Numar persoane, 2590
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2011, Numar persoane, 2324
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2012, Numar persoane, 2278
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2013, Numar persoane, 2153
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2014, Numar persoane, 2260
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2015, Numar persoane, 2127
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2016, Numar persoane, 2118
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1990, Numar persoane, 397
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1991, Numar persoane, 402
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1992, Numar persoane, 383
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1993, Numar persoane, 298
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1994, Numar persoane, 270
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1995, Numar persoane, 301
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1996, Numar persoane, 295
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1997, Numar persoane, 320
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1998, Numar persoane, 486
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1999, Numar persoane, 507
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2000, Numar persoane, 493
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2001, Numar persoane, 450
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2002, Numar persoane, 536
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2003, Numar persoane, 473
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2004, Numar persoane, 495
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2005, Numar persoane, 518
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2006, Numar persoane, 577
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2007, Numar persoane, 521
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2008, Numar persoane, 487
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2009, Numar persoane, 445
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2010, Numar persoane, 342
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2011, Numar persoane, 334
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2012, Numar persoane, 283
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2013, Numar persoane, 246
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2014, Numar persoane, 263
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2015, Numar persoane, 264
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2016, Numar persoane, 270
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1990, Numar persoane, 84
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1991, Numar persoane, 75
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1992, Numar persoane, 80
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1993, Numar persoane, 80
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1994, Numar persoane, 60
