
Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Urban, Masculin, Brasov, Anul 2000, Ani, 30.1
Urban, Masculin, Brasov, Anul 2001, Ani, 30.4
Urban, Masculin, Brasov, Anul 2002, Ani, 30.4
Urban, Masculin, Brasov, Anul 2003, Ani, 30.7
Urban, Masculin, Brasov, Anul 2004, Ani, 30.6
Urban, Masculin, Brasov, Anul 2005, Ani, 30.9
Urban, Masculin, Brasov, Anul 2006, Ani, 31.1
Urban, Masculin, Brasov, Anul 2007, Ani, 31.1
Urban, Masculin, Brasov, Anul 2008, Ani, 31.3
Urban, Masculin, Brasov, Anul 2009, Ani, 31.7
Urban, Masculin, Brasov, Anul 2010, Ani, 32.2
Urban, Masculin, Brasov, Anul 2011, Ani, 32.5
Urban, Masculin, Brasov, Anul 2012, Ani, 32.9
Urban, Masculin, Brasov, Anul 2013, Ani, 33
Urban, Masculin, Brasov, Anul 2014, Ani, 33
Urban, Masculin, Brasov, Anul 2015, Ani, 33.3
Urban, Masculin, Brasov, Anul 2016, Ani, 33.9
Urban, Masculin, Covasna, Anul 1991, Ani, 26.2
Urban, Masculin, Covasna, Anul 1992, Ani, 27.2
Urban, Masculin, Covasna, Anul 1993, Ani, 27.2
Urban, Masculin, Covasna, Anul 1994, Ani, 27.6
Urban, Masculin, Covasna, Anul 1995, Ani, 27.8
Urban, Masculin, Covasna, Anul 1996, Ani, 28
Urban, Masculin, Covasna, Anul 1997, Ani, 28.2
Urban, Masculin, Covasna, Anul 1998, Ani, 28.1
Urban, Masculin, Covasna, Anul 1999, Ani, 28.1
Urban, Masculin, Covasna, Anul 2000, Ani, 29.1
Urban, Masculin, Covasna, Anul 2001, Ani, 28.6
Urban, Masculin, Covasna, Anul 2002, Ani, 28.8
Urban, Masculin, Covasna, Anul 2003, Ani, 29.4
Urban, Masculin, Covasna, Anul 2004, Ani, 30.2
Urban, Masculin, Covasna, Anul 2005, Ani, 30.6
Urban, Masculin, Covasna, Anul 2006, Ani, 30.7
Urban, Masculin, Covasna, Anul 2007, Ani, 31.3
Urban, Masculin, Covasna, Anul 2008, Ani, 30.9
Urban, Masculin, Covasna, Anul 2009, Ani, 31
Urban, Masculin, Covasna, Anul 2010, Ani, 32.1
Urban, Masculin, Covasna, Anul 2011, Ani, 32.1
Urban, Masculin, Covasna, Anul 2012, Ani, 32.1
Urban, Masculin, Covasna, Anul 2013, Ani, 32.6
Urban, Masculin, Covasna, Anul 2014, Ani, 33.2
Urban, Masculin, Covasna, Anul 2015, Ani, 32.7
Urban, Masculin, Covasna, Anul 2016, Ani, 33
Urban, Masculin, Harghita, Anul 1991, Ani, 26.6
Urban, Masculin, Harghita, Anul 1992, Ani, 26.5
Urban, Masculin, Harghita, Anul 1993, Ani, 26.7
Urban, Masculin, Harghita, Anul 1994, Ani, 27.3
Urban, Masculin, Harghita, Anul 1995, Ani, 27.8
Urban, Masculin, Harghita, Anul 1996, Ani, 27.5
Urban, Masculin, Harghita, Anul 1997, Ani, 27.4
Urban, Masculin, Harghita, Anul 1998, Ani, 27.8
Urban, Masculin, Harghita, Anul 1999, Ani, 28.5
Urban, Masculin, Harghita, Anul 2000, Ani, 28.2
Urban, Masculin, Harghita, Anul 2001, Ani, 29
Urban, Masculin, Harghita, Anul 2002, Ani, 28.9
Urban, Masculin, Harghita, Anul 2003, Ani, 29.3
Urban, Masculin, Harghita, Anul 2004, Ani, 30.4
Urban, Masculin, Harghita, Anul 2005, Ani, 30.4
Urban, Masculin, Harghita, Anul 2006, Ani, 30.5
Urban, Masculin, Harghita, Anul 2007, Ani, 31.3
Urban, Masculin, Harghita, Anul 2008, Ani, 30.9
Urban, Masculin, Harghita, Anul 2009, Ani, 31.2
Urban, Masculin, Harghita, Anul 2010, Ani, 31.7
Urban, Masculin, Harghita, Anul 2011, Ani, 32.3
Urban, Masculin, Harghita, Anul 2012, Ani, 32.4
Urban, Masculin, Harghita, Anul 2013, Ani, 32.1
Urban, Masculin, Harghita, Anul 2014, Ani, 32.9
Urban, Masculin, Harghita, Anul 2015, Ani, 32.6
Urban, Masculin, Harghita, Anul 2016, Ani, 33.1
Urban, Masculin, Mures, Anul 1991, Ani, 27.3
Urban, Masculin, Mures, Anul 1992, Ani, 27.1
Urban, Masculin, Mures, Anul 1993, Ani, 27.5
Urban, Masculin, Mures, Anul 1994, Ani, 27.8
Urban, Masculin, Mures, Anul 1995, Ani, 27.9
Urban, Masculin, Mures, Anul 1996, Ani, 28.5
Urban, Masculin, Mures, Anul 1997, Ani, 28.9
Urban, Masculin, Mures, Anul 1998, Ani, 28.5
Urban, Masculin, Mures, Anul 1999, Ani, 28.8
Urban, Masculin, Mures, Anul 2000, Ani, 29.4
Urban, Masculin, Mures, Anul 2001, Ani, 29.8
Urban, Masculin, Mures, Anul 2002, Ani, 29.7
Urban, Masculin, Mures, Anul 2003, Ani, 29.9
Urban, Masculin, Mures, Anul 2004, Ani, 31.3
Urban, Masculin, Mures, Anul 2005, Ani, 31.4
Urban, Masculin, Mures, Anul 2006, Ani, 31.6
Urban, Masculin, Mures, Anul 2007, Ani, 31.4
Urban, Masculin, Mures, Anul 2008, Ani, 31.3
Urban, Masculin, Mures, Anul 2009, Ani, 31.1
Urban, Masculin, Mures, Anul 2010, Ani, 31.7
Urban, Masculin, Mures, Anul 2011, Ani, 32
Urban, Masculin, Mures, Anul 2012, Ani, 32.5
Urban, Masculin, Mures, Anul 2013, Ani, 32.5
Urban, Masculin, Mures, Anul 2014, Ani, 33.1
Urban, Masculin, Mures, Anul 2015, Ani, 33
Urban, Masculin, Mures, Anul 2016, Ani, 32.8
Urban, Masculin, Timis, Anul 1991, Ani, 28.4
Urban, Masculin, Timis, Anul 1992, Ani, 28.5
Urban, Masculin, Timis, Anul 1993, Ani, 28.7
Urban, Masculin, Timis, Anul 1994, Ani, 28.9
Urban, Masculin, Timis, Anul 1995, Ani, 29.4
Urban, Masculin, Timis, Anul 1996, Ani, 29.1
Urban, Masculin, Timis, Anul 1997, Ani, 29.6
Urban, Masculin, Timis, Anul 1998, Ani, 30.1
Urban, Masculin, Timis, Anul 1999, Ani, 29.8
Urban, Masculin, Timis, Anul 2000, Ani, 30.2
Urban, Masculin, Timis, Anul 2001, Ani, 30.9
Urban, Masculin, Timis, Anul 2002, Ani, 31.1
Urban, Masculin, Timis, Anul 2003, Ani, 31.1
Urban, Masculin, Timis, Anul 2004, Ani, 32.3
Urban, Masculin, Timis, Anul 2005, Ani, 32.6
Urban, Masculin, Timis, Anul 2006, Ani, 32.1
Urban, Masculin, Timis, Anul 2007, Ani, 31.8
Urban, Masculin, Timis, Anul 2008, Ani, 32.2
Urban, Masculin, Timis, Anul 2009, Ani, 32.2
Urban, Masculin, Timis, Anul 2010, Ani, 32.3
Urban, Masculin, Timis, Anul 2011, Ani, 32.4
Urban, Masculin, Timis, Anul 2012, Ani, 32.6
Urban, Masculin, Timis, Anul 2013, Ani, 33
Urban, Masculin, Timis, Anul 2014, Ani, 33.1
Urban, Masculin, Timis, Anul 2015, Ani, 33.4
Urban, Masculin, Timis, Anul 2016, Ani, 33.8
Urban, Feminin, Bihor, Anul 1991, Ani, 24.5
Urban, Feminin, Bihor, Anul 1992, Ani, 24.5
Urban, Feminin, Bihor, Anul 1993, Ani, 24.8
Urban, Feminin, Bihor, Anul 1994, Ani, 25
Urban, Feminin, Bihor, Anul 1995, Ani, 24.8
Urban, Feminin, Bihor, Anul 1996, Ani, 25.2
Urban, Feminin, Bihor, Anul 1997, Ani, 25.4
Urban, Feminin, Bihor, Anul 1998, Ani, 25.5
Urban, Feminin, Bihor, Anul 1999, Ani, 25.6
Urban, Feminin, Bihor, Anul 2000, Ani, 25.7
Urban, Feminin, Bihor, Anul 2001, Ani, 26.1
Urban, Feminin, Bihor, Anul 2002, Ani, 26.3
Urban, Feminin, Bihor, Anul 2003, Ani, 26.5
Urban, Feminin, Bihor, Anul 2004, Ani, 27
Urban, Feminin, Bihor, Anul 2005, Ani, 27.1
Urban, Feminin, Bihor, Anul 2006, Ani, 27.6
Urban, Feminin, Bihor, Anul 2007, Ani, 27.7
Urban, Feminin, Bihor, Anul 2008, Ani, 27.9
Urban, Feminin, Bihor, Anul 2009, Ani, 28.1
Urban, Feminin, Bihor, Anul 2010, Ani, 27.8
Urban, Feminin, Bihor, Anul 2011, Ani, 28.2
Urban, Feminin, Bihor, Anul 2012, Ani, 28.7
Urban, Feminin, Bihor, Anul 2013, Ani, 28.8
Urban, Feminin, Bihor, Anul 2014, Ani, 29.1
Urban, Feminin, Bihor, Anul 2015, Ani, 28.9
Urban, Feminin, Bihor, Anul 2016, Ani, 29.4
Urban, Feminin, Cluj, Anul 1991, Ani, 24.7
Urban, Feminin, Cluj, Anul 1992, Ani, 24.9
Urban, Feminin, Cluj, Anul 1993, Ani, 25
Urban, Feminin, Cluj, Anul 1994, Ani, 25.3
Urban, Feminin, Cluj, Anul 1995, Ani, 25.6
Urban, Feminin, Cluj, Anul 1996, Ani, 25.6
Urban, Feminin, Cluj, Anul 1997, Ani, 25.9
Urban, Feminin, Cluj, Anul 1998, Ani, 25.9
Urban, Feminin, Cluj, Anul 1999, Ani, 26.2
Urban, Feminin, Cluj, Anul 2000, Ani, 26.3
Urban, Feminin, Cluj, Anul 2001, Ani, 26.7
Urban, Feminin, Cluj, Anul 2002, Ani, 26.9
Urban, Feminin, Cluj, Anul 2003, Ani, 27
Urban, Feminin, Cluj, Anul 2004, Ani, 28
Urban, Feminin, Cluj, Anul 2005, Ani, 28.3
Urban, Feminin, Cluj, Anul 2006, Ani, 28
Urban, Feminin, Cluj, Anul 2007, Ani, 28.2
Urban, Feminin, Cluj, Anul 2008, Ani, 28.3
Urban, Feminin, Cluj, Anul 2009, Ani, 28.2
Urban, Feminin, Cluj, Anul 2010, Ani, 28.4
Urban, Feminin, Cluj, Anul 2011, Ani, 28.7
Urban, Feminin, Cluj, Anul 2012, Ani, 29.3
Urban, Feminin, Cluj, Anul 2013, Ani, 29.9
Urban, Feminin, Cluj, Anul 2014, Ani, 31.7
Urban, Feminin, Cluj, Anul 2015, Ani, 31
Urban, Feminin, Cluj, Anul 2016, Ani, 30.6
Urban, Feminin, Satu Mare, Anul 1991, Ani, 23.8
Urban, Feminin, Satu Mare, Anul 1992, Ani, 23.6
Urban, Feminin, Satu Mare, Anul 1993, Ani, 23.6
Urban, Feminin, Satu Mare, Anul 1994, Ani, 23.9
Urban, Feminin, Satu Mare, Anul 1995, Ani, 24.6
Urban, Feminin, Satu Mare, Anul 1996, Ani, 24.3
Urban, Feminin, Satu Mare, Anul 1997, Ani, 24.5
Urban, Feminin, Satu Mare, Anul 1998, Ani, 25.1
Urban, Feminin, Satu Mare, Anul 1999, Ani, 24.7
Urban, Feminin, Satu Mare, Anul 2000, Ani, 25.3
Urban, Feminin, Satu Mare, Anul 2001, Ani, 25.3
Urban, Feminin, Satu Mare, Anul 2002, Ani, 25.8
Urban, Feminin, Satu Mare, Anul 2003, Ani, 25.8
Urban, Feminin, Satu Mare, Anul 2004, Ani, 26.6
Urban, Feminin, Satu Mare, Anul 2005, Ani, 26.6
Urban, Feminin, Satu Mare, Anul 2006, Ani, 26.4
Urban, Feminin, Satu Mare, Anul 2007, Ani, 26.6
Urban, Feminin, Satu Mare, Anul 2008, Ani, 27.1
Urban, Feminin, Satu Mare, Anul 2009, Ani, 27.2
Urban, Feminin, Satu Mare, Anul 2010, Ani, 27.3
Urban, Feminin, Satu Mare, Anul 2011, Ani, 27
Urban, Feminin, Satu Mare, Anul 2012, Ani, 27.9
Urban, Feminin, Satu Mare, Anul 2013, Ani, 28
Urban, Feminin, Satu Mare, Anul 2014, Ani, 28.7
Urban, Feminin, Satu Mare, Anul 2015, Ani, 29.1
Urban, Feminin, Satu Mare, Anul 2016, Ani, 29
Urban, Feminin, Brasov, Anul 1991, Ani, 25.5
Urban, Feminin, Brasov, Anul 1992, Ani, 25.1
Urban, Feminin, Brasov, Anul 1993, Ani, 25.4
Urban, Feminin, Brasov, Anul 1994, Ani, 25.6
Urban, Feminin, Brasov, Anul 1995, Ani, 26.2
Urban, Feminin, Brasov, Anul 1996, Ani, 26.4
Urban, Feminin, Brasov, Anul 1997, Ani, 26.4
Urban, Feminin, Brasov, Anul 1998, Ani, 26.5
Urban, Feminin, Brasov, Anul 1999, Ani, 26.4
Urban, Feminin, Brasov, Anul 2000, Ani, 26.9
Urban, Feminin, Brasov, Anul 2001, Ani, 27.1
Urban, Feminin, Brasov, Anul 2002, Ani, 27.4
Urban, Feminin, Brasov, Anul 2003, Ani, 27.6
Urban, Feminin, Brasov, Anul 2004, Ani, 27.7
Urban, Feminin, Brasov, Anul 2005, Ani, 28.1
Urban, Feminin, Brasov, Anul 2006, Ani, 28.3
Urban, Feminin, Brasov, Anul 2007, Ani, 28.3
Urban, Feminin, Brasov, Anul 2008, Ani, 28.3
Urban, Feminin, Brasov, Anul 2009, Ani, 28.8
Urban, Feminin, Brasov, Anul 2010, Ani, 29.2
Urban, Feminin, Brasov, Anul 2011, Ani, 29.3
Urban, Feminin, Brasov, Anul 2012, Ani, 29.8
Urban, Feminin, Brasov, Anul 2013, Ani, 29.9
Urban, Feminin, Brasov, Anul 2014, Ani, 30.1
Urban, Feminin, Brasov, Anul 2015, Ani, 30.2
Urban, Feminin, Brasov, Anul 2016, Ani, 31
Urban, Feminin, Covasna, Anul 1991, Ani, 23.5
Urban, Feminin, Covasna, Anul 1992, Ani, 24.1
Urban, Feminin, Covasna, Anul 1993, Ani, 24.2
Urban, Feminin, Covasna, Anul 1994, Ani, 24.4
Urban, Feminin, Covasna, Anul 1995, Ani, 24.9
Urban, Feminin, Covasna, Anul 1996, Ani, 24.9
Urban, Feminin, Covasna, Anul 1997, Ani, 25
Urban, Feminin, Covasna, Anul 1998, Ani, 25
Urban, Feminin, Covasna, Anul 1999, Ani, 25.2
Urban, Feminin, Covasna, Anul 2000, Ani, 26.1
Urban, Feminin, Covasna, Anul 2001, Ani, 25.7
Urban, Feminin, Covasna, Anul 2002, Ani, 26.3
Urban, Feminin, Covasna, Anul 2003, Ani, 26.8
Urban, Feminin, Covasna, Anul 2004, Ani, 27.1
Urban, Feminin, Covasna, Anul 2005, Ani, 27.5
Urban, Feminin, Covasna, Anul 2006, Ani, 28
Urban, Feminin, Covasna, Anul 2007, Ani, 28.2
Urban, Feminin, Covasna, Anul 2008, Ani, 27.9
Urban, Feminin, Covasna, Anul 2009, Ani, 28.1
Urban, Feminin, Covasna, Anul 2010, Ani, 28.7
Urban, Feminin, Covasna, Anul 2011, Ani, 29.1
Urban, Feminin, Covasna, Anul 2012, Ani, 29
Urban, Feminin, Covasna, Anul 2013, Ani, 29.5
Urban, Feminin, Covasna, Anul 2014, Ani, 30
Urban, Feminin, Covasna, Anul 2015, Ani, 29.8
Urban, Feminin, Covasna, Anul 2016, Ani, 30
Urban, Feminin, Harghita, Anul 1991, Ani, 23.8
Urban, Feminin, Harghita, Anul 1992, Ani, 23.6
Urban, Feminin, Harghita, Anul 1993, Ani, 23.8
Urban, Feminin, Harghita, Anul 1994, Ani, 24.5
Urban, Feminin, Harghita, Anul 1995, Ani, 24.8
Urban, Feminin, Harghita, Anul 1996, Ani, 24.6
Urban, Feminin, Harghita, Anul 1997, Ani, 24.8
Urban, Feminin, Harghita, Anul 1998, Ani, 24.9
Urban, Feminin, Harghita, Anul 1999, Ani, 25.5
Urban, Feminin, Harghita, Anul 2000, Ani, 25.5
Urban, Feminin, Harghita, Anul 2001, Ani, 25.8
Urban, Feminin, Harghita, Anul 2002, Ani, 26.3
Urban, Feminin, Harghita, Anul 2003, Ani, 26.2
Urban, Feminin, Harghita, Anul 2004, Ani, 26.8
Urban, Feminin, Harghita, Anul 2005, Ani, 27.3
Urban, Feminin, Harghita, Anul 2006, Ani, 27.3
Urban, Feminin, Harghita, Anul 2007, Ani, 28.1
Urban, Feminin, Harghita, Anul 2008, Ani, 27.8
Urban, Feminin, Harghita, Anul 2009, Ani, 27.9
Urban, Feminin, Harghita, Anul 2010, Ani, 28.4
Urban, Feminin, Harghita, Anul 2011, Ani, 29.2
Urban, Feminin, Harghita, Anul 2012, Ani, 28.8
Urban, Feminin, Harghita, Anul 2013, Ani, 29.2
Urban, Feminin, Harghita, Anul 2014, Ani, 29.5
Urban, Feminin, Harghita, Anul 2015, Ani, 29.4
Urban, Feminin, Harghita, Anul 2016, Ani, 29.8
Urban, Feminin, Mures, Anul 1991, Ani, 24.5
Urban, Feminin, Mures, Anul 1992, Ani, 24.1
Urban, Feminin, Mures, Anul 1993, Ani, 24.7
Urban, Feminin, Mures, Anul 1994, Ani, 24.8
Urban, Feminin, Mures, Anul 1995, Ani, 24.8
Urban, Feminin, Mures, Anul 1996, Ani, 25.4
Urban, Feminin, Mures, Anul 1997, Ani, 25.7
Urban, Feminin, Mures, Anul 1998, Ani, 25.8
Urban, Feminin, Mures, Anul 1999, Ani, 25.8
Urban, Feminin, Mures, Anul 2000, Ani, 26.2
Urban, Feminin, Mures, Anul 2001, Ani, 26.7
Urban, Feminin, Mures, Anul 2002, Ani, 26.8
Urban, Feminin, Mures, Anul 2003, Ani, 26.8
Urban, Feminin, Mures, Anul 2004, Ani, 27.8
Urban, Feminin, Mures, Anul 2005, Ani, 28
Urban, Feminin, Mures, Anul 2006, Ani, 28.1
Urban, Feminin, Mures, Anul 2007, Ani, 28.2
Urban, Feminin, Mures, Anul 2008, Ani, 28.2
Urban, Feminin, Mures, Anul 2009, Ani, 28.2
Urban, Feminin, Mures, Anul 2010, Ani, 28.7
Urban, Feminin, Mures, Anul 2011, Ani, 28.9
Urban, Feminin, Mures, Anul 2012, Ani, 29.2
Urban, Feminin, Mures, Anul 2013, Ani, 29.3
Urban, Feminin, Mures, Anul 2014, Ani, 29.9
Urban, Feminin, Mures, Anul 2015, Ani, 29.7
Urban, Feminin, Mures, Anul 2016, Ani, 29.6
Urban, Feminin, Timis, Anul 1991, Ani, 25.6
Urban, Feminin, Timis, Anul 1992, Ani, 25.7
Urban, Feminin, Timis, Anul 1993, Ani, 25.9
Urban, Feminin, Timis, Anul 1994, Ani, 26.1
Urban, Feminin, Timis, Anul 1995, Ani, 26.6
Urban, Feminin, Timis, Anul 1996, Ani, 26.3
Urban, Feminin, Timis, Anul 1997, Ani, 26.9
Urban, Feminin, Timis, Anul 1998, Ani, 27.2
Urban, Feminin, Timis, Anul 1999, Ani, 26.9
Urban, Feminin, Timis, Anul 2000, Ani, 27.2
Urban, Feminin, Timis, Anul 2001, Ani, 27.7
Urban, Feminin, Timis, Anul 2002, Ani, 28.1
Urban, Feminin, Timis, Anul 2003, Ani, 28
Urban, Feminin, Timis, Anul 2004, Ani, 29
Urban, Feminin, Timis, Anul 2005, Ani, 29.1
Urban, Feminin, Timis, Anul 2006, Ani, 28.9
Urban, Feminin, Timis, Anul 2007, Ani, 28.9
Urban, Feminin, Timis, Anul 2008, Ani, 29.3
Urban, Feminin, Timis, Anul 2009, Ani, 29.2
Urban, Feminin, Timis, Anul 2010, Ani, 29.2
Urban, Feminin, Timis, Anul 2011, Ani, 29.5
Urban, Feminin, Timis, Anul 2012, Ani, 29.6
Urban, Feminin, Timis, Anul 2013, Ani, 30
Urban, Feminin, Timis, Anul 2014, Ani, 30.2
Urban, Feminin, Timis, Anul 2015, Ani, 30.5
Urban, Feminin, Timis, Anul 2016, Ani, 30.9
Rural, Masculin, Bihor, Anul 1991, Ani, 26.4
Rural, Masculin, Bihor, Anul 1992, Ani, 26.9
Rural, Masculin, Bihor, Anul 1993, Ani, 27
Rural, Masculin, Bihor, Anul 1994, Ani, 26.9
Rural, Masculin, Bihor, Anul 1995, Ani, 28.1
Rural, Masculin, Bihor, Anul 1996, Ani, 27.5
Rural, Masculin, Bihor, Anul 1997, Ani, 27.1
Rural, Masculin, Bihor, Anul 1998, Ani, 27.6
Rural, Masculin, Bihor, Anul 1999, Ani, 28
Rural, Masculin, Bihor, Anul 2000, Ani, 28.7
Rural, Masculin, Bihor, Anul 2001, Ani, 28.8
Rural, Masculin, Bihor, Anul 2002, Ani, 29
Rural, Masculin, Bihor, Anul 2003, Ani, 28.7
Rural, Masculin, Bihor, Anul 2004, Ani, 29.7
Rural, Masculin, Bihor, Anul 2005, Ani, 29.3
Rural, Masculin, Bihor, Anul 2006, Ani, 29.2
Rural, Masculin, Bihor, Anul 2007, Ani, 31.2
Rural, Masculin, Bihor, Anul 2008, Ani, 30.1
Rural, Masculin, Bihor, Anul 2009, Ani, 30.1
Rural, Masculin, Bihor, Anul 2010, Ani, 30
Rural, Masculin, Bihor, Anul 2011, Ani, 30.6
Rural, Masculin, Bihor, Anul 2012, Ani, 30.5
Rural, Masculin, Bihor, Anul 2013, Ani, 30.7
Rural, Masculin, Bihor, Anul 2014, Ani, 31.1
Rural, Masculin, Bihor, Anul 2015, Ani, 31.6
Rural, Masculin, Bihor, Anul 2016, Ani, 31.7
Rural, Masculin, Cluj, Anul 1991, Ani, 26.6
Rural, Masculin, Cluj, Anul 1992, Ani, 26.4
Rural, Masculin, Cluj, Anul 1993, Ani, 26.6
Rural, Masculin, Cluj, Anul 1994, Ani, 26.7
Rural, Masculin, Cluj, Anul 1995, Ani, 27.8
Rural, Masculin, Cluj, Anul 1996, Ani, 27.7
Rural, Masculin, Cluj, Anul 1997, Ani, 27.5
Rural, Masculin, Cluj, Anul 1998, Ani, 28.1
Rural, Masculin, Cluj, Anul 1999, Ani, 28
Rural, Masculin, Cluj, Anul 2000, Ani, 28.4
Rural, Masculin, Cluj, Anul 2001, Ani, 29.1
Rural, Masculin, Cluj, Anul 2002, Ani, 28.7
Rural, Masculin, Cluj, Anul 2003, Ani, 29.5
Rural, Masculin, Cluj, Anul 2004, Ani, 29.9
Rural, Masculin, Cluj, Anul 2005, Ani, 29.9
Rural, Masculin, Cluj, Anul 2006, Ani, 30.6
Rural, Masculin, Cluj, Anul 2007, Ani, 31
Rural, Masculin, Cluj, Anul 2008, Ani, 30.6
Rural, Masculin, Cluj, Anul 2009, Ani, 31
Rural, Masculin, Cluj, Anul 2010, Ani, 31
Rural, Masculin, Cluj, Anul 2011, Ani, 31.3
Rural, Masculin, Cluj, Anul 2012, Ani, 31.6
Rural, Masculin, Cluj, Anul 2013, Ani, 31
Rural, Masculin, Cluj, Anul 2014, Ani, 31.9
