
Nationalitati , Ani, UM: Numar persoane, Valoare
De nationalitate evrei, Anul 1994, Numar persoane, 177
De nationalitate evrei, Anul 1995, Numar persoane, 131
De nationalitate evrei, Anul 1996, Numar persoane, 191
De nationalitate evrei, Anul 1997, Numar persoane, 136
De nationalitate evrei, Anul 1998, Numar persoane, 198
De nationalitate evrei, Anul 1999, Numar persoane, 111
De nationalitate evrei, Anul 2000, Numar persoane, 66
De nationalitate evrei, Anul 2001, Numar persoane, 72
De nationalitate evrei, Anul 2002, Numar persoane, 28
De nationalitate evrei, Anul 2003, Numar persoane, 24
De nationalitate evrei, Anul 2004, Numar persoane, 36
De nationalitate evrei, Anul 2005, Numar persoane, 48
De nationalitate evrei, Anul 2006, Numar persoane, 54
De nationalitate evrei, Anul 2007, Numar persoane, 21
De nationalitate evrei, Anul 2008, Numar persoane, 27
De nationalitate evrei, Anul 2009, Numar persoane, 27
De nationalitate evrei, Anul 2010, Numar persoane, 8
De alte nationalitati, Anul 1990, Numar persoane, 1184
De alte nationalitati, Anul 1991, Numar persoane, 1276
De alte nationalitati, Anul 1992, Numar persoane, 449
De alte nationalitati, Anul 1993, Numar persoane, 260
De alte nationalitati, Anul 1994, Numar persoane, 249
De alte nationalitati, Anul 1995, Numar persoane, 324
De alte nationalitati, Anul 1996, Numar persoane, 148
De alte nationalitati, Anul 1997, Numar persoane, 194
De alte nationalitati, Anul 1998, Numar persoane, 144
De alte nationalitati, Anul 1999, Numar persoane, 114
De alte nationalitati, Anul 2000, Numar persoane, 87
De alte nationalitati, Anul 2001, Numar persoane, 36
De alte nationalitati, Anul 2002, Numar persoane, 105
De alte nationalitati, Anul 2003, Numar persoane, 82
De alte nationalitati, Anul 2004, Numar persoane, 58
De alte nationalitati, Anul 2005, Numar persoane, 36
De alte nationalitati, Anul 2006, Numar persoane, 69
De alte nationalitati, Anul 2007, Numar persoane, 41
De alte nationalitati, Anul 2008, Numar persoane, 15
De alte nationalitati, Anul 2009, Numar persoane, 14
De alte nationalitati, Anul 2010, Numar persoane, 14
De alte nationalitati, Anul 2011, Numar persoane, 18307
De alte nationalitati, Anul 2012, Numar persoane, 18001
