Sorszám,Neme?,Életkora,Városban lakik?,A legmagasabb iskolai végzettsége,Hányan élnek egy háztartásban?,"Hogy érzi, mennyire boldog? A jelenlegi élethelyzetében a létra melyik fokán áll?",Hogyan érzékeli a szakmai pályafutását? Jelenleg melyik fokon áll karrier szempontjából?,Hogyan érzékeli az egészségi állapotát? Jelenleg  melyik fokon áll egészségileg?,Milyeneknek érzi a baráti kapcsolatait? Jelenleg  melyik fokon áll az emberi kapcsolatokban?,"Milyennek érzékeli a természeti környezetet, amely körülveszi? Jelenleg  melyik fokon áll a környezetével kapcsolatokban?",Megfelelő kikapcsolódási és szórakozási lehetőségei vannak? Jelenleg  melyik fokon áll a kikapcsolódás és szórakozás terén?,Vallásos-e ön?,Hogyan látja a jövőt? A boldogságát tekintve melyik fokon fog állni 5 év múlva?,Hogyan érzékeli az anyagi helyzetét? Jelenleg  melyik fokon áll anyagilag?,Milyeneknek érzi a családi kapcsolatait? Jelenleg  melyik fokon áll a családi kapcsolatokban?,Egy főre jutó nettó jövedelem a háztartásban,Munkaviszonya,Végez hetente legalább 3-szor legkevesebb 30 perc testmozgást?,"Milyen lesz a természeti környezet, amely körülveszi? 5 év múlva melyik fokon fog állni a környezetével kapcsolatokban?",Milyen a spiritualitással való kapcsolata? Jelenleg a létra melyik fokán áll a spiritualitás terén?,"Ha bajba kerül vagy problémája adódik, van-e valaki a családjában vagy a közvetlen környezetében, akinek a segítségére vagy támogatására számíthat?","Melyik székely szék településén van állandó lakhelye? (Az, ahol valóban lakik, nem az, amit a személyazonossági igazolványa ír.)","Szokott-e pénzzel vagy önkéntes munkával segíteni rászorulóknak, esetleg a rászorulókat támogató szervezeteknek? ",Adományozott-e pénzt (bármilyen csekély összeget) az elmúlt hónapban?,"Leggyakrabban (nem a jelen pillanatban) milyen a kedélyállapota? Ha az előző szakaszban említett létrán 0 a mély depresszió és 10 a maximális eufória, akkor jelenleg a létra melyik fokán áll általános kedélyállapotát tekintve?","Az ön közvetlen családjában (szülők, testvérek, házastárs, vagy gyermek) volt-e öngyilkossági kísérlet?","Önnek, személy szerint volt-e öngyilkossági kísérlete?","Úgy érzi, hogy van elég választási szabadsága, amikor fontos élethelyzetekben kell döntenie?",Korruptnak tartja-e a kormányzatot?,Korruptnak tartja-e a székelyföldi politikusokat?,Korruptnak tartja-e a székelyföldi üzletembereket? A helyi gazdasági életben csak korrupcióval lehet érvényesülni?,,
11,nő,25-34,Igen,felsőfokú,3,5,2,5,5,5,0,nem hiszek semmilyen vallásban vagy teremtőben,5,5,5,1000 - 1999 RON között,Egyéb,igen,5,0,Igen,Sepsiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,2,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
12,férfi,35-44,Igen,doktori,2,7,7,8,9,9,8,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",8,8,8,3000 RON fölött,Alkalmazott,igen,8,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
13,férfi,35-44,Nem,középiskola,4,5,6,8,4,6,3,"valamennyire igen, évente többször járok templomba",6,5,6,999 RON alatt,Alkalmazott,nem,6,3,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
14,nő,35-44,Igen,középiskola,3,8,8,9,7,9,7,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,7,8,3000 RON fölött,Alkalmazott,nem,9,6,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Igen,Igen,Igen!,Igen!,Nem!,,
15,nő,35-44,Nem,középiskola,4,6,8,7,8,6,5,"valamennyire igen, évente többször járok templomba",7,4,8,999 RON alatt,Háztartásbeli,igen,6,9,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,6,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
16,férfi,45-54,Igen,középiskola,2,6,5,9,9,8,2,"valamennyire igen, évente többször járok templomba",7,4,10,1000 - 1999 RON között,Alkalmazott,igen,7,9,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Igen,Igen,Igen!,Igen!,Igen!,,
17,nő,25-34,Igen,felsőfokú,2,6,1,9,3,3,3,"valamennyire igen, évente többször járok templomba",8,2,1,1000 - 1999 RON között,Alkalmazott,nem,5,2,Igen,Marosszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
18,nő,45-54,Igen,felsőfokú,3,3,3,6,5,6,2,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",3,2,10,999 RON alatt,Alkalmazott,igen,6,3,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,4,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
19,nő,65-74,Nem,felsőfokú,2,6,9,5,3,3,10,"igen, heti rendszerességgel járok templomba",8,5,1,1000 - 1999 RON között,Nyugdíjas,igen,8,1,Igen,Sepsiszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,0,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
20,nő,15-24,Igen,középiskola,3,6,3,8,8,3,2,"valamennyire igen, de nem járok templomba",4,3,9,1000 - 1999 RON között,Alkalmazott,nem,1,4,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Igen,Nem,Igen!,Igen!,Igen!,,
21,férfi,45-54,Igen,középiskola,3,8,9,8,8,10,8,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",8,6,10,1000 - 1999 RON között,Alkalmazott,igen,10,5,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
22,nő,45-54,Nem,középiskola,3,7,6,9,8,8,2,"valamennyire igen, évente többször járok templomba",7,8,9,1000 - 1999 RON között,Alkalmazott,nem,8,3,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
23,férfi,35-44,Nem,felsőfokú,3,3,5,3,5,5,4,"igen, heti rendszerességgel járok templomba",6,7,5,1000 - 1999 RON között,Alkalmazott,nem,6,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,3,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
24,férfi,35-44,Igen,középiskola,4,6,3,5,7,10,8,"valamennyire igen, évente többször járok templomba",5,4,9,999 RON alatt,Alkalmazott,nem,8,7,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
25,nő,65-74,Igen,középiskola,2,7,8,6,9,10,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,5,10,1000 - 1999 RON között,Nyugdíjas,igen,10,0,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
26,férfi,25-34,Nem,felsőfokú,4,5,7,5,1,8,3,nem hiszek semmilyen vallásban vagy teremtőben,9,9,4,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,9,0,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,3,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
27,nő,45-54,Igen,felsőfokú,4,8,8,9,8,8,7,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,7,7,1000 - 1999 RON között,Alkalmazott,igen,8,7,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,7,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
28,férfi,25-34,Igen,felsőfokú,2,7,7,9,9,8,5,"valamennyire igen, de nem járok templomba",8,5,9,1000 - 1999 RON között,Alkalmazott,nem,5,7,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
29,férfi,25-34,Nem,felsőfokú,5 vagy több,10,1,10,10,10,10,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",10,0,10,999 RON alatt,Tanuló / diák,igen,10,1,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
30,nő,15-24,Nem,középiskola,5 vagy több,7,6,9,8,8,4,"igen, heti rendszerességgel járok templomba",8,6,7,1000 - 1999 RON között,Tanuló / diák,igen,7,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
31,férfi,65-74,Igen,középiskola,2,8,5,2,10,9,7,"valamennyire igen, de nem járok templomba",8,5,10,999 RON alatt,Nyugdíjas,nem,9,3,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
32,nő,35-44,Igen,felsőfokú,egyedül él,8,8,8,10,9,8,"valamennyire igen, de nem járok templomba",9,6,6,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,igen,10,7,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
33,nő,25-34,Nem,felsőfokú,5 vagy több,7,5,9,9,6,10,"valamennyire igen, évente többször járok templomba",8,6,8,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,7,4,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
34,férfi,35-44,Nem,felsőfokú,4,6,2,3,6,9,8,nem hiszek semmilyen vallásban vagy teremtőben,6,2,8,1000 - 1999 RON között,Alkalmazott,nem,9,0,Igen,Csíkszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
35,férfi,25-34,Igen,felsőfokú,2,7,8,5,7,5,5,"valamennyire igen, évente többször járok templomba",8,8,8,3000 RON fölött,Alkalmazott,nem,7,6,Igen,Marosszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
36,nő,35-44,Nem,felsőfokú,3,6,9,9,8,9,8,"igen, heti rendszerességgel járok templomba",5,8,8,1000 - 1999 RON között,Egyéb,igen,8,6,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
37,nő,45-54,Igen,középiskola,egyedül él,7,6,9,8,5,9,"igen, heti rendszerességgel járok templomba",9,8,6,1000 - 1999 RON között,Alkalmazott,igen,7,6,Igen,Csíkszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
38,nő,35-44,Igen,felsőfokú,4,10,9,9,7,10,5,"valamennyire igen, évente többször járok templomba",10,8,8,1000 - 1999 RON között,Alkalmazott,igen,10,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
39,férfi,25-34,Igen,felsőfokú,4,9,8,10,8,7,6,"valamennyire igen, évente többször járok templomba",7,10,9,2000 - 2999 RON között,Egyéb,igen,7,7,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
40,férfi,25-34,Igen,felsőfokú,3,7,6,7,8,6,7,"valamennyire igen, de nem járok templomba",8,5,8,3000 RON fölött,Alkalmazott,nem,9,3,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
41,férfi,25-34,Igen,felsőfokú,4,9,6,8,2,9,7,"valamennyire igen, de nem járok templomba",9,6,9,1000 - 1999 RON között,Alkalmazott,igen,10,7,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Nem!,Igen!,Nem!,,
42,nő,55-64,Igen,elemi,2,8,9,8,8,7,5,"valamennyire igen, évente többször járok templomba",8,8,9,1000 - 1999 RON között,Nyugdíjas,igen,7,0,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
43,férfi,35-44,Igen,felsőfokú,3,6,8,7,5,3,4,nem hiszek semmilyen vallásban vagy teremtőben,7,6,4,2000 - 2999 RON között,Alkalmazott,nem,6,3,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,5,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
44,nő,35-44,Igen,középiskola,2,7,8,8,4,3,1,"valamennyire igen, de nem járok templomba",6,7,5,1000 - 1999 RON között,Alkalmazott,nem,2,5,Igen,Bardóc-Miklósvárszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,4,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
45,férfi,55-64,Igen,felsőfokú,3,8,5,3,5,10,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,8,10,1000 - 1999 RON között,Alkalmazott,igen,10,2,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
46,férfi,45-54,Igen,felsőfokú,3,8,9,9,7,7,6,"igen, heti rendszerességgel járok templomba",9,8,7,2000 - 2999 RON között,Egyéb,igen,7,9,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
47,férfi,45-54,Igen,felsőfokú,5 vagy több,7,8,5,4,5,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,6,4,1000 - 1999 RON között,Alkalmazott,nem,5,9,Igen,Csíkszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,6,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
48,nő,25-34,Nem,középiskola,3,5,6,10,5,6,2,"igen, heti rendszerességgel járok templomba",7,5,8,999 RON alatt,Vállalkozó / cégtulajdonos,nem,7,6,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,3,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
49,férfi,25-34,Igen,felsőfokú,egyedül él,8,6,8,8,8,7,nem hiszek semmilyen vallásban vagy teremtőben,8,7,10,3000 RON fölött,Alkalmazott,nem,8,0,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,6,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
50,nő,25-34,Nem,felsőfokú,2,9,6,7,10,8,6,"igen, heti rendszerességgel járok templomba",9,9,10,2000 - 2999 RON között,Alkalmazott,igen,9,6,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
51,férfi,35-44,Nem,középiskola,5 vagy több,5,5,1,5,5,1,"valamennyire igen, évente többször járok templomba",4,2,2,999 RON alatt,Gazdálkodó,igen,4,2,Nem,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,5,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
52,férfi,45-54,Igen,középiskola,3,6,8,8,8,6,4,"valamennyire igen, évente többször járok templomba",6,5,9,1000 - 1999 RON között,Alkalmazott,nem,6,1,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
53,férfi,35-44,Igen,felsőfokú,4,6,2,5,5,4,3,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",8,5,7,1000 - 1999 RON között,Alkalmazott,igen,2,6,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
54,férfi,25-34,Igen,középiskola,2,7,6,8,8,7,8,"valamennyire igen, évente többször járok templomba",8,4,9,1000 - 1999 RON között,Alkalmazott,igen,9,8,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
55,nő,35-44,Igen,felsőfokú,5 vagy több,9,7,9,9,7,6,"igen, heti rendszerességgel járok templomba",10,7,9,999 RON alatt,Alkalmazott,nem,9,9,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
56,férfi,25-34,Igen,felsőfokú,2,9,8,9,7,10,9,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",9,8,8,1000 - 1999 RON között,Alkalmazott,,9,4,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
57,férfi,25-34,Igen,felsőfokú,3,9,7,9,7,8,7,"valamennyire igen, de nem járok templomba",10,7,10,1000 - 1999 RON között,Alkalmazott,igen,8,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
58,nő,35-44,Nem,felsőfokú,2,8,8,8,8,8,7,"valamennyire igen, évente többször járok templomba",8,7,9,2000 - 2999 RON között,Alkalmazott,igen,6,6,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
59,férfi,15-24,Igen,felsőfokú,4,8,5,9,6,8,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",10,6,10,1000 - 1999 RON között,Tanuló / diák,igen,9,0,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Igen,Nem,Igen,Igen!,Igen!,Igen!,,
60,férfi,35-44,Nem,felsőfokú,5 vagy több,7,8,8,8,7,6,"igen, heti rendszerességgel járok templomba",7,7,8,1000 - 1999 RON között,Alkalmazott,igen,6,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,5,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
61,nő,35-44,Igen,felsőfokú,4,6,7,8,6,8,6,"valamennyire igen, évente többször járok templomba",6,6,6,2000 - 2999 RON között,Alkalmazott,nem,8,5,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
62,nő,25-34,Nem,felsőfokú,5 vagy több,9,7,10,9,8,7,"igen, heti rendszerességgel járok templomba",9,7,9,999 RON alatt,Vállalkozó / cégtulajdonos,igen,8,6,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
63,nő,25-34,Igen,középiskola,3,5,5,7,8,8,7,"valamennyire igen, de nem járok templomba",7,3,9,1000 - 1999 RON között,Alkalmazott,nem,5,5,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,7,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
64,nő,55-64,Igen,felsőfokú,2,8,9,9,6,8,8,"valamennyire igen, évente többször járok templomba",9,7,10,3000 RON fölött,Alkalmazott,igen,9,8,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,9,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
65,férfi,25-34,Igen,felsőfokú,4,7,8,9,9,9,9,"igen, heti rendszerességgel járok templomba",9,7,7,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,9,8,Igen,Udvarhelyszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
66,férfi,55-64,Nem,nincs,2,1,0,0,1,1,0,"valamennyire igen, évente többször járok templomba",1,1,1,3000 RON fölött,Nyugdíjas,igen,1,0,Igen,Orbaiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,1,Nem,Nem,Igen,Nem!,Igen!,Nem!,,
