
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 42815
Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 43264
Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 40959
Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 41071
Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 40287
Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 40491
Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 40843
Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 42066
Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 43351
Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 40996
Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 42456
Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 41760
Total, Regiunea SUD-EST, Anul 1990, Numar persoane, 29405
Total, Regiunea SUD-EST, Anul 1991, Numar persoane, 30196
Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 30672
Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 31070
Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 33122
Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 33265
Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 35309
Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 34368
Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 32809
Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 32960
Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 31969
Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 33128
Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 33835
Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 33756
Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 32334
Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 32431
Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 32153
Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 32375
Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 32805
Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 33215
Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 34042
Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 33042
Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 33641
Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 32963
Total, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 41861
Total, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 42351
Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 44571
Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 43937
Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 43914
Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 45839
Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 48726
Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 47132
Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 45510
Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 44570
Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 42911
Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 43879
Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 46023
Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 45669
Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 43479
Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 44412
Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 43498
Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 42288
Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 42917
Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 43620
Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 43588
Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 42711
Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 43246
Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 41962
Total, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 24102
Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 24754
Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 25934
Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 26180
Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 25901
Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 26829
Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 28141
Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 27206
Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 26100
Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 25542
Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 25097
Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 24929
Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 25389
Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 25104
Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 24182
Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 25537
Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 25409
Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 25114
Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 24534
Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 24596
Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 24846
Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 24722
Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 25578
Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 24503
Total, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 29199
Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 29444
Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 31048
Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 30367
Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 30528
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 31686
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 33657
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 33024
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 32213
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 31313
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 29327
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 30151
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 32107
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 31074
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 30348
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 30969
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 29858
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 29083
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 29315
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 29355
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 29663
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 28272
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 28339
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 27327
Total, Regiunea VEST, Anul 1990, Numar persoane, 25944
Total, Regiunea VEST, Anul 1991, Numar persoane, 26324
Total, Regiunea VEST, Anul 1992, Numar persoane, 27362
Total, Regiunea VEST, Anul 1993, Numar persoane, 26916
Total, Regiunea VEST, Anul 1994, Numar persoane, 26762
Total, Regiunea VEST, Anul 1995, Numar persoane, 27046
Total, Regiunea VEST, Anul 1996, Numar persoane, 27993
Total, Regiunea VEST, Anul 1997, Numar persoane, 27190
Total, Regiunea VEST, Anul 1998, Numar persoane, 26277
Total, Regiunea VEST, Anul 1999, Numar persoane, 25948
Total, Regiunea VEST, Anul 2000, Numar persoane, 24626
Total, Regiunea VEST, Anul 2001, Numar persoane, 24594
Total, Regiunea VEST, Anul 2002, Numar persoane, 24899
Total, Regiunea VEST, Anul 2003, Numar persoane, 25075
Total, Regiunea VEST, Anul 2004, Numar persoane, 25023
Total, Regiunea VEST, Anul 2005, Numar persoane, 25078
Total, Regiunea VEST, Anul 2006, Numar persoane, 24784
Total, Regiunea VEST, Anul 2007, Numar persoane, 23362
Total, Regiunea VEST, Anul 2008, Numar persoane, 23362
Total, Regiunea VEST, Anul 2009, Numar persoane, 23908
Total, Regiunea VEST, Anul 2010, Numar persoane, 24064
Total, Regiunea VEST, Anul 2011, Numar persoane, 23218
Total, Regiunea VEST, Anul 2012, Numar persoane, 23012
Total, Regiunea VEST, Anul 2013, Numar persoane, 22989
Boli infectioase si parazitare, TOTAL, Anul 1990, Numar persoane, 2761
Boli infectioase si parazitare, TOTAL, Anul 1991, Numar persoane, 2563
Boli infectioase si parazitare, TOTAL, Anul 1992, Numar persoane, 2822
Boli infectioase si parazitare, TOTAL, Anul 1993, Numar persoane, 3129
Boli infectioase si parazitare, TOTAL, Anul 1994, Numar persoane, 3523
Boli infectioase si parazitare, TOTAL, Anul 1995, Numar persoane, 3654
Boli infectioase si parazitare, TOTAL, Anul 1996, Numar persoane, 3859
Boli infectioase si parazitare, TOTAL, Anul 1997, Numar persoane, 3991
Boli infectioase si parazitare, TOTAL, Anul 1998, Numar persoane, 3680
Boli infectioase si parazitare, TOTAL, Anul 1999, Numar persoane, 3236
Boli infectioase si parazitare, TOTAL, Anul 2000, Numar persoane, 3171
Boli infectioase si parazitare, TOTAL, Anul 2001, Numar persoane, 3451
Boli infectioase si parazitare, TOTAL, Anul 2002, Numar persoane, 3273
Boli infectioase si parazitare, TOTAL, Anul 2003, Numar persoane, 3056
Boli infectioase si parazitare, TOTAL, Anul 2004, Numar persoane, 2900
Boli infectioase si parazitare, TOTAL, Anul 2005, Numar persoane, 2589
Boli infectioase si parazitare, TOTAL, Anul 2006, Numar persoane, 2512
Boli infectioase si parazitare, TOTAL, Anul 2007, Numar persoane, 2375
Boli infectioase si parazitare, TOTAL, Anul 2008, Numar persoane, 2485
Boli infectioase si parazitare, TOTAL, Anul 2009, Numar persoane, 2358
Boli infectioase si parazitare, TOTAL, Anul 2010, Numar persoane, 2474
Boli infectioase si parazitare, TOTAL, Anul 2011, Numar persoane, 2233
Boli infectioase si parazitare, TOTAL, Anul 2012, Numar persoane, 2396
Boli infectioase si parazitare, TOTAL, Anul 2013, Numar persoane, 2362
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1990, Numar persoane, 357
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1991, Numar persoane, 318
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1992, Numar persoane, 335
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1993, Numar persoane, 472
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1994, Numar persoane, 414
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1995, Numar persoane, 376
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1996, Numar persoane, 346
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1997, Numar persoane, 428
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1998, Numar persoane, 372
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 1999, Numar persoane, 340
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2000, Numar persoane, 338
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2001, Numar persoane, 370
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2002, Numar persoane, 368
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2003, Numar persoane, 318
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2004, Numar persoane, 329
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2005, Numar persoane, 277
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2006, Numar persoane, 288
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2007, Numar persoane, 233
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2008, Numar persoane, 278
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2009, Numar persoane, 279
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2010, Numar persoane, 259
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2011, Numar persoane, 223
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2012, Numar persoane, 262
Boli infectioase si parazitare, Regiunea NORD-VEST, Anul 2013, Numar persoane, 238
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1990, Numar persoane, 201
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1991, Numar persoane, 220
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1992, Numar persoane, 242
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1993, Numar persoane, 244
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1994, Numar persoane, 286
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1995, Numar persoane, 286
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1996, Numar persoane, 324
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1997, Numar persoane, 336
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1998, Numar persoane, 332
Boli infectioase si parazitare, Regiunea CENTRU, Anul 1999, Numar persoane, 310
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2000, Numar persoane, 270
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2001, Numar persoane, 264
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2002, Numar persoane, 289
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2003, Numar persoane, 245
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2004, Numar persoane, 227
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2005, Numar persoane, 226
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2006, Numar persoane, 215
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2007, Numar persoane, 213
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2008, Numar persoane, 224
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2009, Numar persoane, 221
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2010, Numar persoane, 249
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2011, Numar persoane, 225
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2012, Numar persoane, 228
Boli infectioase si parazitare, Regiunea CENTRU, Anul 2013, Numar persoane, 251
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1990, Numar persoane, 569
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1991, Numar persoane, 518
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1992, Numar persoane, 572
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1993, Numar persoane, 597
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1994, Numar persoane, 712
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1995, Numar persoane, 672
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1996, Numar persoane, 698
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1997, Numar persoane, 772
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1998, Numar persoane, 637
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 1999, Numar persoane, 614
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2000, Numar persoane, 571
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2001, Numar persoane, 670
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2002, Numar persoane, 582
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2003, Numar persoane, 522
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2004, Numar persoane, 560
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2005, Numar persoane, 511
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2006, Numar persoane, 547
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2007, Numar persoane, 507
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2008, Numar persoane, 468
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2009, Numar persoane, 502
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2010, Numar persoane, 578
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2011, Numar persoane, 499
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2012, Numar persoane, 626
Boli infectioase si parazitare, Regiunea NORD-EST, Anul 2013, Numar persoane, 685
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1990, Numar persoane, 366
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1991, Numar persoane, 344
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1992, Numar persoane, 348
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1993, Numar persoane, 381
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1994, Numar persoane, 532
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1995, Numar persoane, 573
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1996, Numar persoane, 579
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1997, Numar persoane, 574
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1998, Numar persoane, 494
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 1999, Numar persoane, 469
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2000, Numar persoane, 537
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2001, Numar persoane, 545
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2002, Numar persoane, 432
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2003, Numar persoane, 429
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2004, Numar persoane, 371
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2005, Numar persoane, 359
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2006, Numar persoane, 307
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2007, Numar persoane, 317
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2008, Numar persoane, 349
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2009, Numar persoane, 306
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2010, Numar persoane, 303
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2011, Numar persoane, 317
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2012, Numar persoane, 320
Boli infectioase si parazitare, Regiunea SUD-EST, Anul 2013, Numar persoane, 299
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 470
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 413
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 432
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 472
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 492
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 556
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 642
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 653
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 649
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 487
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 483
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 566
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 555
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 511
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 529
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 409
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 390
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 384
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 393
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 414
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 430
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 359
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 332
Boli infectioase si parazitare, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 257
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 244
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 215
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 254
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 310
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 402
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 421
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 482
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 441
Boli infectioase si parazitare, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 435
