
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Mures, Anul 2010, Numar persoane, 7148
Total, Mures, Anul 2011, Numar persoane, 6908
Total, Mures, Anul 2012, Numar persoane, 6775
Boli infectioase si parazitare, TOTAL, Anul 1999, Numar persoane, 3236
Boli infectioase si parazitare, TOTAL, Anul 2000, Numar persoane, 3171
Boli infectioase si parazitare, TOTAL, Anul 2001, Numar persoane, 3451
Boli infectioase si parazitare, TOTAL, Anul 2002, Numar persoane, 3273
Boli infectioase si parazitare, TOTAL, Anul 2003, Numar persoane, 3056
Boli infectioase si parazitare, TOTAL, Anul 2004, Numar persoane, 2900
Boli infectioase si parazitare, TOTAL, Anul 2005, Numar persoane, 2589
Boli infectioase si parazitare, TOTAL, Anul 2006, Numar persoane, 2512
Boli infectioase si parazitare, TOTAL, Anul 2007, Numar persoane, 2375
Boli infectioase si parazitare, TOTAL, Anul 2008, Numar persoane, 2485
Boli infectioase si parazitare, TOTAL, Anul 2009, Numar persoane, 2358
Boli infectioase si parazitare, TOTAL, Anul 2010, Numar persoane, 2474
Boli infectioase si parazitare, TOTAL, Anul 2011, Numar persoane, 2233
Boli infectioase si parazitare, TOTAL, Anul 2012, Numar persoane, 2396
Boli infectioase si parazitare, Covasna, Anul 1999, Numar persoane, 14
Boli infectioase si parazitare, Covasna, Anul 2000, Numar persoane, 18
Boli infectioase si parazitare, Covasna, Anul 2001, Numar persoane, 14
Boli infectioase si parazitare, Covasna, Anul 2002, Numar persoane, 20
Boli infectioase si parazitare, Covasna, Anul 2003, Numar persoane, 27
Boli infectioase si parazitare, Covasna, Anul 2004, Numar persoane, 19
Boli infectioase si parazitare, Covasna, Anul 2005, Numar persoane, 21
Boli infectioase si parazitare, Covasna, Anul 2006, Numar persoane, 11
Boli infectioase si parazitare, Covasna, Anul 2007, Numar persoane, 22
Boli infectioase si parazitare, Covasna, Anul 2008, Numar persoane, 30
Boli infectioase si parazitare, Covasna, Anul 2009, Numar persoane, 22
Boli infectioase si parazitare, Covasna, Anul 2010, Numar persoane, 25
Boli infectioase si parazitare, Covasna, Anul 2011, Numar persoane, 32
Boli infectioase si parazitare, Covasna, Anul 2012, Numar persoane, 26
Boli infectioase si parazitare, Harghita, Anul 1999, Numar persoane, 50
Boli infectioase si parazitare, Harghita, Anul 2000, Numar persoane, 24
Boli infectioase si parazitare, Harghita, Anul 2001, Numar persoane, 31
Boli infectioase si parazitare, Harghita, Anul 2002, Numar persoane, 31
Boli infectioase si parazitare, Harghita, Anul 2003, Numar persoane, 25
Boli infectioase si parazitare, Harghita, Anul 2004, Numar persoane, 23
Boli infectioase si parazitare, Harghita, Anul 2005, Numar persoane, 29
Boli infectioase si parazitare, Harghita, Anul 2006, Numar persoane, 25
Boli infectioase si parazitare, Harghita, Anul 2007, Numar persoane, 15
Boli infectioase si parazitare, Harghita, Anul 2008, Numar persoane, 31
Boli infectioase si parazitare, Harghita, Anul 2009, Numar persoane, 28
Boli infectioase si parazitare, Harghita, Anul 2010, Numar persoane, 34
Boli infectioase si parazitare, Harghita, Anul 2011, Numar persoane, 32
Boli infectioase si parazitare, Harghita, Anul 2012, Numar persoane, 31
Boli infectioase si parazitare, Mures, Anul 1999, Numar persoane, 103
Boli infectioase si parazitare, Mures, Anul 2000, Numar persoane, 104
Boli infectioase si parazitare, Mures, Anul 2001, Numar persoane, 95
Boli infectioase si parazitare, Mures, Anul 2002, Numar persoane, 102
Boli infectioase si parazitare, Mures, Anul 2003, Numar persoane, 79
Boli infectioase si parazitare, Mures, Anul 2004, Numar persoane, 82
Boli infectioase si parazitare, Mures, Anul 2005, Numar persoane, 86
Boli infectioase si parazitare, Mures, Anul 2006, Numar persoane, 71
Boli infectioase si parazitare, Mures, Anul 2007, Numar persoane, 71
Boli infectioase si parazitare, Mures, Anul 2008, Numar persoane, 73
Boli infectioase si parazitare, Mures, Anul 2009, Numar persoane, 78
Boli infectioase si parazitare, Mures, Anul 2010, Numar persoane, 82
Boli infectioase si parazitare, Mures, Anul 2011, Numar persoane, 76
Boli infectioase si parazitare, Mures, Anul 2012, Numar persoane, 81
din care: Tuberculoza, TOTAL, Anul 1999, Numar persoane, 2152
din care: Tuberculoza, TOTAL, Anul 2000, Numar persoane, 2130
din care: Tuberculoza, TOTAL, Anul 2001, Numar persoane, 2387
din care: Tuberculoza, TOTAL, Anul 2002, Numar persoane, 2339
din care: Tuberculoza, TOTAL, Anul 2003, Numar persoane, 2237
din care: Tuberculoza, TOTAL, Anul 2004, Numar persoane, 2089
din care: Tuberculoza, TOTAL, Anul 2005, Numar persoane, 1784
din care: Tuberculoza, TOTAL, Anul 2006, Numar persoane, 1704
din care: Tuberculoza, TOTAL, Anul 2007, Numar persoane, 1606
din care: Tuberculoza, TOTAL, Anul 2008, Numar persoane, 1639
din care: Tuberculoza, TOTAL, Anul 2009, Numar persoane, 1523
din care: Tuberculoza, TOTAL, Anul 2010, Numar persoane, 1482
din care: Tuberculoza, TOTAL, Anul 2011, Numar persoane, 1283
din care: Tuberculoza, TOTAL, Anul 2012, Numar persoane, 1249
din care: Tuberculoza, Covasna, Anul 1999, Numar persoane, 12
din care: Tuberculoza, Covasna, Anul 2000, Numar persoane, 9
din care: Tuberculoza, Covasna, Anul 2001, Numar persoane, 11
din care: Tuberculoza, Covasna, Anul 2002, Numar persoane, 16
din care: Tuberculoza, Covasna, Anul 2003, Numar persoane, 13
din care: Tuberculoza, Covasna, Anul 2004, Numar persoane, 9
din care: Tuberculoza, Covasna, Anul 2005, Numar persoane, 11
din care: Tuberculoza, Covasna, Anul 2006, Numar persoane, 3
din care: Tuberculoza, Covasna, Anul 2007, Numar persoane, 5
din care: Tuberculoza, Covasna, Anul 2008, Numar persoane, 18
din care: Tuberculoza, Covasna, Anul 2009, Numar persoane, 7
din care: Tuberculoza, Covasna, Anul 2010, Numar persoane, 8
din care: Tuberculoza, Covasna, Anul 2011, Numar persoane, 10
din care: Tuberculoza, Covasna, Anul 2012, Numar persoane, 11
din care: Tuberculoza, Harghita, Anul 1999, Numar persoane, 35
din care: Tuberculoza, Harghita, Anul 2000, Numar persoane, 10
din care: Tuberculoza, Harghita, Anul 2001, Numar persoane, 15
din care: Tuberculoza, Harghita, Anul 2002, Numar persoane, 10
din care: Tuberculoza, Harghita, Anul 2003, Numar persoane, 14
din care: Tuberculoza, Harghita, Anul 2004, Numar persoane, 9
din care: Tuberculoza, Harghita, Anul 2005, Numar persoane, 5
din care: Tuberculoza, Harghita, Anul 2006, Numar persoane, 7
din care: Tuberculoza, Harghita, Anul 2007, Numar persoane, 6
din care: Tuberculoza, Harghita, Anul 2008, Numar persoane, 6
din care: Tuberculoza, Harghita, Anul 2009, Numar persoane, 9
din care: Tuberculoza, Harghita, Anul 2010, Numar persoane, 7
din care: Tuberculoza, Harghita, Anul 2011, Numar persoane, 11
din care: Tuberculoza, Harghita, Anul 2012, Numar persoane, 2
din care: Tuberculoza, Mures, Anul 1999, Numar persoane, 78
din care: Tuberculoza, Mures, Anul 2000, Numar persoane, 77
din care: Tuberculoza, Mures, Anul 2001, Numar persoane, 73
din care: Tuberculoza, Mures, Anul 2002, Numar persoane, 80
din care: Tuberculoza, Mures, Anul 2003, Numar persoane, 55
din care: Tuberculoza, Mures, Anul 2004, Numar persoane, 50
din care: Tuberculoza, Mures, Anul 2005, Numar persoane, 57
din care: Tuberculoza, Mures, Anul 2006, Numar persoane, 43
din care: Tuberculoza, Mures, Anul 2007, Numar persoane, 47
din care: Tuberculoza, Mures, Anul 2008, Numar persoane, 56
din care: Tuberculoza, Mures, Anul 2009, Numar persoane, 53
din care: Tuberculoza, Mures, Anul 2010, Numar persoane, 53
din care: Tuberculoza, Mures, Anul 2011, Numar persoane, 36
din care: Tuberculoza, Mures, Anul 2012, Numar persoane, 35
Tumori, TOTAL, Anul 1999, Numar persoane, 39677
Tumori, TOTAL, Anul 2000, Numar persoane, 41290
Tumori, TOTAL, Anul 2001, Numar persoane, 42750
Tumori, TOTAL, Anul 2002, Numar persoane, 43191
Tumori, TOTAL, Anul 2003, Numar persoane, 43676
Tumori, TOTAL, Anul 2004, Numar persoane, 43985
Tumori, TOTAL, Anul 2005, Numar persoane, 44906
Tumori, TOTAL, Anul 2006, Numar persoane, 45451
Tumori, TOTAL, Anul 2007, Numar persoane, 45383
Tumori, TOTAL, Anul 2008, Numar persoane, 46486
Tumori, TOTAL, Anul 2009, Numar persoane, 47389
Tumori, TOTAL, Anul 2010, Numar persoane, 47502
Tumori, TOTAL, Anul 2011, Numar persoane, 48356
Tumori, TOTAL, Anul 2012, Numar persoane, 49065
Tumori, Covasna, Anul 1999, Numar persoane, 380
Tumori, Covasna, Anul 2000, Numar persoane, 365
Tumori, Covasna, Anul 2001, Numar persoane, 424
Tumori, Covasna, Anul 2002, Numar persoane, 392
Tumori, Covasna, Anul 2003, Numar persoane, 425
Tumori, Covasna, Anul 2004, Numar persoane, 432
Tumori, Covasna, Anul 2005, Numar persoane, 397
Tumori, Covasna, Anul 2006, Numar persoane, 448
Tumori, Covasna, Anul 2007, Numar persoane, 473
Tumori, Covasna, Anul 2008, Numar persoane, 461
Tumori, Covasna, Anul 2009, Numar persoane, 497
Tumori, Covasna, Anul 2010, Numar persoane, 475
Tumori, Covasna, Anul 2011, Numar persoane, 450
Tumori, Covasna, Anul 2012, Numar persoane, 495
Tumori, Harghita, Anul 1999, Numar persoane, 541
Tumori, Harghita, Anul 2000, Numar persoane, 578
Tumori, Harghita, Anul 2001, Numar persoane, 551
Tumori, Harghita, Anul 2002, Numar persoane, 577
Tumori, Harghita, Anul 2003, Numar persoane, 599
Tumori, Harghita, Anul 2004, Numar persoane, 579
Tumori, Harghita, Anul 2005, Numar persoane, 585
Tumori, Harghita, Anul 2006, Numar persoane, 606
Tumori, Harghita, Anul 2007, Numar persoane, 634
Tumori, Harghita, Anul 2008, Numar persoane, 631
Tumori, Harghita, Anul 2009, Numar persoane, 601
Tumori, Harghita, Anul 2010, Numar persoane, 579
Tumori, Harghita, Anul 2011, Numar persoane, 625
Tumori, Harghita, Anul 2012, Numar persoane, 648
Tumori, Mures, Anul 1999, Numar persoane, 1290
Tumori, Mures, Anul 2000, Numar persoane, 1304
Tumori, Mures, Anul 2001, Numar persoane, 1400
Tumori, Mures, Anul 2002, Numar persoane, 1329
Tumori, Mures, Anul 2003, Numar persoane, 1317
Tumori, Mures, Anul 2004, Numar persoane, 1439
Tumori, Mures, Anul 2005, Numar persoane, 1522
Tumori, Mures, Anul 2006, Numar persoane, 1512
Tumori, Mures, Anul 2007, Numar persoane, 1437
Tumori, Mures, Anul 2008, Numar persoane, 1442
Tumori, Mures, Anul 2009, Numar persoane, 1526
Tumori, Mures, Anul 2010, Numar persoane, 1505
Tumori, Mures, Anul 2011, Numar persoane, 1511
Tumori, Mures, Anul 2012, Numar persoane, 1513
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 1999, Numar persoane, 2066
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2000, Numar persoane, 1963
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2001, Numar persoane, 1913
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2002, Numar persoane, 1959
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2003, Numar persoane, 2240
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2004, Numar persoane, 2272
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2005, Numar persoane, 2248
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2006, Numar persoane, 2223
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2007, Numar persoane, 2382
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2008, Numar persoane, 2278
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2009, Numar persoane, 2398
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2010, Numar persoane, 2574
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2011, Numar persoane, 2357
Boli endocrine  de nutritie si metabolism, TOTAL, Anul 2012, Numar persoane, 2431
Boli endocrine  de nutritie si metabolism, Covasna, Anul 1999, Numar persoane, 20
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2000, Numar persoane, 20
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2001, Numar persoane, 19
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2002, Numar persoane, 19
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2003, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2004, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2005, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2006, Numar persoane, 25
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2007, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2008, Numar persoane, 29
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2009, Numar persoane, 22
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2010, Numar persoane, 21
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2011, Numar persoane, 28
Boli endocrine  de nutritie si metabolism, Covasna, Anul 2012, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Harghita, Anul 1999, Numar persoane, 11
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2000, Numar persoane, 8
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2001, Numar persoane, 11
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2002, Numar persoane, 19
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2003, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2004, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2005, Numar persoane, 18
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2006, Numar persoane, 18
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2007, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2008, Numar persoane, 28
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2009, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2010, Numar persoane, 17
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2011, Numar persoane, 16
Boli endocrine  de nutritie si metabolism, Harghita, Anul 2012, Numar persoane, 13
Boli endocrine  de nutritie si metabolism, Mures, Anul 1999, Numar persoane, 90
Boli endocrine  de nutritie si metabolism, Mures, Anul 2000, Numar persoane, 108
Boli endocrine  de nutritie si metabolism, Mures, Anul 2001, Numar persoane, 102
Boli endocrine  de nutritie si metabolism, Mures, Anul 2002, Numar persoane, 114
Boli endocrine  de nutritie si metabolism, Mures, Anul 2003, Numar persoane, 151
Boli endocrine  de nutritie si metabolism, Mures, Anul 2004, Numar persoane, 213
Boli endocrine  de nutritie si metabolism, Mures, Anul 2005, Numar persoane, 184
Boli endocrine  de nutritie si metabolism, Mures, Anul 2006, Numar persoane, 194
Boli endocrine  de nutritie si metabolism, Mures, Anul 2007, Numar persoane, 164
Boli endocrine  de nutritie si metabolism, Mures, Anul 2008, Numar persoane, 176
Boli endocrine  de nutritie si metabolism, Mures, Anul 2009, Numar persoane, 196
Boli endocrine  de nutritie si metabolism, Mures, Anul 2010, Numar persoane, 222
Boli endocrine  de nutritie si metabolism, Mures, Anul 2011, Numar persoane, 216
Boli endocrine  de nutritie si metabolism, Mures, Anul 2012, Numar persoane, 199
din care:  Diabet zaharat, TOTAL, Anul 1999, Numar persoane, 1967
din care:  Diabet zaharat, TOTAL, Anul 2000, Numar persoane, 1871
din care:  Diabet zaharat, TOTAL, Anul 2001, Numar persoane, 1809
din care:  Diabet zaharat, TOTAL, Anul 2002, Numar persoane, 1867
din care:  Diabet zaharat, TOTAL, Anul 2003, Numar persoane, 2124
din care:  Diabet zaharat, TOTAL, Anul 2004, Numar persoane, 2182
din care:  Diabet zaharat, TOTAL, Anul 2005, Numar persoane, 2123
din care:  Diabet zaharat, TOTAL, Anul 2006, Numar persoane, 2119
din care:  Diabet zaharat, TOTAL, Anul 2007, Numar persoane, 2289
din care:  Diabet zaharat, TOTAL, Anul 2008, Numar persoane, 2206
din care:  Diabet zaharat, TOTAL, Anul 2009, Numar persoane, 2274
din care:  Diabet zaharat, TOTAL, Anul 2010, Numar persoane, 2450
din care:  Diabet zaharat, TOTAL, Anul 2011, Numar persoane, 2223
din care:  Diabet zaharat, TOTAL, Anul 2012, Numar persoane, 2294
din care:  Diabet zaharat, Covasna, Anul 1999, Numar persoane, 19
din care:  Diabet zaharat, Covasna, Anul 2000, Numar persoane, 18
din care:  Diabet zaharat, Covasna, Anul 2001, Numar persoane, 16
din care:  Diabet zaharat, Covasna, Anul 2002, Numar persoane, 16
din care:  Diabet zaharat, Covasna, Anul 2003, Numar persoane, 18
din care:  Diabet zaharat, Covasna, Anul 2004, Numar persoane, 30
din care:  Diabet zaharat, Covasna, Anul 2005, Numar persoane, 23
din care:  Diabet zaharat, Covasna, Anul 2006, Numar persoane, 21
din care:  Diabet zaharat, Covasna, Anul 2007, Numar persoane, 24
din care:  Diabet zaharat, Covasna, Anul 2008, Numar persoane, 29
din care:  Diabet zaharat, Covasna, Anul 2009, Numar persoane, 22
din care:  Diabet zaharat, Covasna, Anul 2010, Numar persoane, 20
din care:  Diabet zaharat, Covasna, Anul 2011, Numar persoane, 26
din care:  Diabet zaharat, Covasna, Anul 2012, Numar persoane, 24
din care:  Diabet zaharat, Harghita, Anul 1999, Numar persoane, 9
din care:  Diabet zaharat, Harghita, Anul 2000, Numar persoane, 7
din care:  Diabet zaharat, Harghita, Anul 2001, Numar persoane, 9
din care:  Diabet zaharat, Harghita, Anul 2002, Numar persoane, 19
din care:  Diabet zaharat, Harghita, Anul 2003, Numar persoane, 23
din care:  Diabet zaharat, Harghita, Anul 2004, Numar persoane, 23
din care:  Diabet zaharat, Harghita, Anul 2005, Numar persoane, 15
din care:  Diabet zaharat, Harghita, Anul 2006, Numar persoane, 15
din care:  Diabet zaharat, Harghita, Anul 2007, Numar persoane, 23
din care:  Diabet zaharat, Harghita, Anul 2008, Numar persoane, 27
din care:  Diabet zaharat, Harghita, Anul 2009, Numar persoane, 26
din care:  Diabet zaharat, Harghita, Anul 2010, Numar persoane, 16
din care:  Diabet zaharat, Harghita, Anul 2011, Numar persoane, 16
din care:  Diabet zaharat, Harghita, Anul 2012, Numar persoane, 13
din care:  Diabet zaharat, Mures, Anul 1999, Numar persoane, 83
din care:  Diabet zaharat, Mures, Anul 2000, Numar persoane, 100
din care:  Diabet zaharat, Mures, Anul 2001, Numar persoane, 96
din care:  Diabet zaharat, Mures, Anul 2002, Numar persoane, 107
din care:  Diabet zaharat, Mures, Anul 2003, Numar persoane, 145
din care:  Diabet zaharat, Mures, Anul 2004, Numar persoane, 210
din care:  Diabet zaharat, Mures, Anul 2005, Numar persoane, 180
din care:  Diabet zaharat, Mures, Anul 2006, Numar persoane, 191
din care:  Diabet zaharat, Mures, Anul 2007, Numar persoane, 160
din care:  Diabet zaharat, Mures, Anul 2008, Numar persoane, 174
din care:  Diabet zaharat, Mures, Anul 2009, Numar persoane, 193
din care:  Diabet zaharat, Mures, Anul 2010, Numar persoane, 215
din care:  Diabet zaharat, Mures, Anul 2011, Numar persoane, 210
din care:  Diabet zaharat, Mures, Anul 2012, Numar persoane, 197
Tulburari mentale si de comportament, TOTAL, Anul 1999, Numar persoane, 1373
Tulburari mentale si de comportament, TOTAL, Anul 2000, Numar persoane, 1208
Tulburari mentale si de comportament, TOTAL, Anul 2001, Numar persoane, 1069
Tulburari mentale si de comportament, TOTAL, Anul 2002, Numar persoane, 1214
Tulburari mentale si de comportament, TOTAL, Anul 2003, Numar persoane, 1109
Tulburari mentale si de comportament, TOTAL, Anul 2004, Numar persoane, 911
Tulburari mentale si de comportament, TOTAL, Anul 2005, Numar persoane, 697
Tulburari mentale si de comportament, TOTAL, Anul 2006, Numar persoane, 563
Tulburari mentale si de comportament, TOTAL, Anul 2007, Numar persoane, 588
Tulburari mentale si de comportament, TOTAL, Anul 2008, Numar persoane, 593
Tulburari mentale si de comportament, TOTAL, Anul 2009, Numar persoane, 618
Tulburari mentale si de comportament, TOTAL, Anul 2010, Numar persoane, 618
Tulburari mentale si de comportament, TOTAL, Anul 2011, Numar persoane, 427
Tulburari mentale si de comportament, TOTAL, Anul 2012, Numar persoane, 347
Tulburari mentale si de comportament, Covasna, Anul 1999, Numar persoane, 36
Tulburari mentale si de comportament, Covasna, Anul 2000, Numar persoane, 25
Tulburari mentale si de comportament, Covasna, Anul 2001, Numar persoane, 17
Tulburari mentale si de comportament, Covasna, Anul 2002, Numar persoane, 14
Tulburari mentale si de comportament, Covasna, Anul 2003, Numar persoane, 43
Tulburari mentale si de comportament, Covasna, Anul 2004, Numar persoane, 25
Tulburari mentale si de comportament, Covasna, Anul 2005, Numar persoane, 9
Tulburari mentale si de comportament, Covasna, Anul 2006, Numar persoane, 3
Tulburari mentale si de comportament, Covasna, Anul 2007, Numar persoane, 2
Tulburari mentale si de comportament, Covasna, Anul 2008, Numar persoane, 4
Tulburari mentale si de comportament, Covasna, Anul 2009, Numar persoane, 1
Tulburari mentale si de comportament, Covasna, Anul 2010, Numar persoane, 3
Tulburari mentale si de comportament, Covasna, Anul 2011, Numar persoane, 6
Tulburari mentale si de comportament, Covasna, Anul 2012, Numar persoane, 1
Tulburari mentale si de comportament, Harghita, Anul 1999, Numar persoane, 9
Tulburari mentale si de comportament, Harghita, Anul 2000, Numar persoane, 8
Tulburari mentale si de comportament, Harghita, Anul 2001, Numar persoane, 8
Tulburari mentale si de comportament, Harghita, Anul 2002, Numar persoane, 12
Tulburari mentale si de comportament, Harghita, Anul 2003, Numar persoane, 11
Tulburari mentale si de comportament, Harghita, Anul 2004, Numar persoane, 7
Tulburari mentale si de comportament, Harghita, Anul 2005, Numar persoane, 7
Tulburari mentale si de comportament, Harghita, Anul 2006, Numar persoane, 6
Tulburari mentale si de comportament, Harghita, Anul 2007, Numar persoane, 3
Tulburari mentale si de comportament, Harghita, Anul 2008, Numar persoane, 8
Tulburari mentale si de comportament, Harghita, Anul 2009, Numar persoane, 6
Tulburari mentale si de comportament, Harghita, Anul 2010, Numar persoane, 4
Tulburari mentale si de comportament, Harghita, Anul 2011, Numar persoane, 2
Tulburari mentale si de comportament, Harghita, Anul 2012, Numar persoane, 2
Tulburari mentale si de comportament, Mures, Anul 1999, Numar persoane, 56
Tulburari mentale si de comportament, Mures, Anul 2000, Numar persoane, 42
Tulburari mentale si de comportament, Mures, Anul 2001, Numar persoane, 11
Tulburari mentale si de comportament, Mures, Anul 2002, Numar persoane, 12
Tulburari mentale si de comportament, Mures, Anul 2003, Numar persoane, 10
Tulburari mentale si de comportament, Mures, Anul 2004, Numar persoane, 8
Tulburari mentale si de comportament, Mures, Anul 2005, Numar persoane, 13
Tulburari mentale si de comportament, Mures, Anul 2006, Numar persoane, 9
Tulburari mentale si de comportament, Mures, Anul 2007, Numar persoane, 7
Tulburari mentale si de comportament, Mures, Anul 2008, Numar persoane, 10
Tulburari mentale si de comportament, Mures, Anul 2009, Numar persoane, 12
Tulburari mentale si de comportament, Mures, Anul 2010, Numar persoane, 11
Tulburari mentale si de comportament, Mures, Anul 2011, Numar persoane, 8
Tulburari mentale si de comportament, Mures, Anul 2012, Numar persoane, 9
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 1999, Numar persoane, 1724
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2000, Numar persoane, 1647
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2001, Numar persoane, 1668
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2002, Numar persoane, 1658
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2003, Numar persoane, 1823
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2004, Numar persoane, 1873
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2005, Numar persoane, 1962
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2006, Numar persoane, 1859
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2007, Numar persoane, 2018
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2008, Numar persoane, 2032
