
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, 5-  9 ani, Mures, Anul 2004, Numar persoane, 10
Total, 5-  9 ani, Mures, Anul 2005, Numar persoane, 7
Total, 5-  9 ani, Mures, Anul 2006, Numar persoane, 9
Total, 5-  9 ani, Mures, Anul 2007, Numar persoane, 9
Total, 5-  9 ani, Mures, Anul 2008, Numar persoane, 5
Total, 5-  9 ani, Mures, Anul 2009, Numar persoane, 12
Total, 5-  9 ani, Mures, Anul 2010, Numar persoane, 9
Total, 5-  9 ani, Mures, Anul 2011, Numar persoane, 7
Total, 5-  9 ani, Mures, Anul 2012, Numar persoane, 8
Total, 10-14 ani, TOTAL, Anul 1999, Numar persoane, 1023
Total, 10-14 ani, TOTAL, Anul 2000, Numar persoane, 1015
Total, 10-14 ani, TOTAL, Anul 2001, Numar persoane, 967
Total, 10-14 ani, TOTAL, Anul 2002, Numar persoane, 787
Total, 10-14 ani, TOTAL, Anul 2003, Numar persoane, 616
Total, 10-14 ani, TOTAL, Anul 2004, Numar persoane, 457
Total, 10-14 ani, TOTAL, Anul 2005, Numar persoane, 392
Total, 10-14 ani, TOTAL, Anul 2006, Numar persoane, 365
Total, 10-14 ani, TOTAL, Anul 2007, Numar persoane, 343
Total, 10-14 ani, TOTAL, Anul 2008, Numar persoane, 315
Total, 10-14 ani, TOTAL, Anul 2009, Numar persoane, 301
Total, 10-14 ani, TOTAL, Anul 2010, Numar persoane, 287
Total, 10-14 ani, TOTAL, Anul 2011, Numar persoane, 259
Total, 10-14 ani, TOTAL, Anul 2012, Numar persoane, 296
Total, 10-14 ani, Covasna, Anul 1999, Numar persoane, 7
Total, 10-14 ani, Covasna, Anul 2000, Numar persoane, 7
Total, 10-14 ani, Covasna, Anul 2001, Numar persoane, 6
Total, 10-14 ani, Covasna, Anul 2002, Numar persoane, 7
Total, 10-14 ani, Covasna, Anul 2003, Numar persoane, 6
Total, 10-14 ani, Covasna, Anul 2004, Numar persoane, 2
Total, 10-14 ani, Covasna, Anul 2005, Numar persoane, 1
Total, 10-14 ani, Covasna, Anul 2006, Numar persoane, 1
Total, 10-14 ani, Covasna, Anul 2007, Numar persoane, 5
Total, 10-14 ani, Covasna, Anul 2008, Numar persoane, 2
Total, 10-14 ani, Covasna, Anul 2009, Numar persoane, 4
Total, 10-14 ani, Covasna, Anul 2010, Numar persoane, 2
Total, 10-14 ani, Covasna, Anul 2011, Numar persoane, 3
Total, 10-14 ani, Covasna, Anul 2012, Numar persoane, 5
Total, 10-14 ani, Harghita, Anul 1999, Numar persoane, 18
Total, 10-14 ani, Harghita, Anul 2000, Numar persoane, 4
Total, 10-14 ani, Harghita, Anul 2001, Numar persoane, 13
Total, 10-14 ani, Harghita, Anul 2002, Numar persoane, 8
Total, 10-14 ani, Harghita, Anul 2003, Numar persoane, 10
Total, 10-14 ani, Harghita, Anul 2004, Numar persoane, 7
Total, 10-14 ani, Harghita, Anul 2005, Numar persoane, 2
Total, 10-14 ani, Harghita, Anul 2006, Numar persoane, 5
Total, 10-14 ani, Harghita, Anul 2007, Numar persoane, 7
Total, 10-14 ani, Harghita, Anul 2008, Numar persoane, 4
Total, 10-14 ani, Harghita, Anul 2009, Numar persoane, 6
Total, 10-14 ani, Harghita, Anul 2010, Numar persoane, 5
Total, 10-14 ani, Harghita, Anul 2011, Numar persoane, 4
Total, 10-14 ani, Harghita, Anul 2012, Numar persoane, 5
Total, 10-14 ani, Mures, Anul 1999, Numar persoane, 30
Total, 10-14 ani, Mures, Anul 2000, Numar persoane, 37
Total, 10-14 ani, Mures, Anul 2001, Numar persoane, 25
Total, 10-14 ani, Mures, Anul 2002, Numar persoane, 17
Total, 10-14 ani, Mures, Anul 2003, Numar persoane, 21
Total, 10-14 ani, Mures, Anul 2004, Numar persoane, 23
Total, 10-14 ani, Mures, Anul 2005, Numar persoane, 13
Total, 10-14 ani, Mures, Anul 2006, Numar persoane, 19
Total, 10-14 ani, Mures, Anul 2007, Numar persoane, 9
Total, 10-14 ani, Mures, Anul 2008, Numar persoane, 5
Total, 10-14 ani, Mures, Anul 2009, Numar persoane, 9
Total, 10-14 ani, Mures, Anul 2010, Numar persoane, 11
Total, 10-14 ani, Mures, Anul 2011, Numar persoane, 7
Total, 10-14 ani, Mures, Anul 2012, Numar persoane, 10
Total, 15-19 ani, TOTAL, Anul 1999, Numar persoane, 1106
Total, 15-19 ani, TOTAL, Anul 2000, Numar persoane, 1043
Total, 15-19 ani, TOTAL, Anul 2001, Numar persoane, 881
Total, 15-19 ani, TOTAL, Anul 2002, Numar persoane, 820
Total, 15-19 ani, TOTAL, Anul 2003, Numar persoane, 886
Total, 15-19 ani, TOTAL, Anul 2004, Numar persoane, 1017
Total, 15-19 ani, TOTAL, Anul 2005, Numar persoane, 1006
Total, 15-19 ani, TOTAL, Anul 2006, Numar persoane, 941
Total, 15-19 ani, TOTAL, Anul 2007, Numar persoane, 906
Total, 15-19 ani, TOTAL, Anul 2008, Numar persoane, 888
Total, 15-19 ani, TOTAL, Anul 2009, Numar persoane, 721
Total, 15-19 ani, TOTAL, Anul 2010, Numar persoane, 591
Total, 15-19 ani, TOTAL, Anul 2011, Numar persoane, 547
Total, 15-19 ani, TOTAL, Anul 2012, Numar persoane, 533
Total, 15-19 ani, Covasna, Anul 1999, Numar persoane, 11
Total, 15-19 ani, Covasna, Anul 2000, Numar persoane, 16
Total, 15-19 ani, Covasna, Anul 2001, Numar persoane, 10
Total, 15-19 ani, Covasna, Anul 2002, Numar persoane, 13
Total, 15-19 ani, Covasna, Anul 2003, Numar persoane, 8
Total, 15-19 ani, Covasna, Anul 2004, Numar persoane, 12
Total, 15-19 ani, Covasna, Anul 2005, Numar persoane, 12
Total, 15-19 ani, Covasna, Anul 2006, Numar persoane, 6
Total, 15-19 ani, Covasna, Anul 2007, Numar persoane, 6
Total, 15-19 ani, Covasna, Anul 2008, Numar persoane, 5
Total, 15-19 ani, Covasna, Anul 2009, Numar persoane, 16
Total, 15-19 ani, Covasna, Anul 2010, Numar persoane, 4
Total, 15-19 ani, Covasna, Anul 2011, Numar persoane, 2
Total, 15-19 ani, Covasna, Anul 2012, Numar persoane, 6
Total, 15-19 ani, Harghita, Anul 1999, Numar persoane, 20
Total, 15-19 ani, Harghita, Anul 2000, Numar persoane, 12
Total, 15-19 ani, Harghita, Anul 2001, Numar persoane, 24
Total, 15-19 ani, Harghita, Anul 2002, Numar persoane, 7
Total, 15-19 ani, Harghita, Anul 2003, Numar persoane, 19
Total, 15-19 ani, Harghita, Anul 2004, Numar persoane, 16
Total, 15-19 ani, Harghita, Anul 2005, Numar persoane, 16
Total, 15-19 ani, Harghita, Anul 2006, Numar persoane, 16
Total, 15-19 ani, Harghita, Anul 2007, Numar persoane, 12
Total, 15-19 ani, Harghita, Anul 2008, Numar persoane, 14
Total, 15-19 ani, Harghita, Anul 2009, Numar persoane, 7
Total, 15-19 ani, Harghita, Anul 2010, Numar persoane, 9
Total, 15-19 ani, Harghita, Anul 2011, Numar persoane, 10
Total, 15-19 ani, Harghita, Anul 2012, Numar persoane, 9
Total, 15-19 ani, Mures, Anul 1999, Numar persoane, 32
Total, 15-19 ani, Mures, Anul 2000, Numar persoane, 34
Total, 15-19 ani, Mures, Anul 2001, Numar persoane, 28
Total, 15-19 ani, Mures, Anul 2002, Numar persoane, 22
Total, 15-19 ani, Mures, Anul 2003, Numar persoane, 21
Total, 15-19 ani, Mures, Anul 2004, Numar persoane, 36
Total, 15-19 ani, Mures, Anul 2005, Numar persoane, 37
Total, 15-19 ani, Mures, Anul 2006, Numar persoane, 32
Total, 15-19 ani, Mures, Anul 2007, Numar persoane, 32
Total, 15-19 ani, Mures, Anul 2008, Numar persoane, 19
Total, 15-19 ani, Mures, Anul 2009, Numar persoane, 10
Total, 15-19 ani, Mures, Anul 2010, Numar persoane, 28
Total, 15-19 ani, Mures, Anul 2011, Numar persoane, 18
Total, 15-19 ani, Mures, Anul 2012, Numar persoane, 11
Total, 20-24 ani, TOTAL, Anul 1999, Numar persoane, 1533
Total, 20-24 ani, TOTAL, Anul 2000, Numar persoane, 1430
Total, 20-24 ani, TOTAL, Anul 2001, Numar persoane, 1353
Total, 20-24 ani, TOTAL, Anul 2002, Numar persoane, 1291
Total, 20-24 ani, TOTAL, Anul 2003, Numar persoane, 1246
Total, 20-24 ani, TOTAL, Anul 2004, Numar persoane, 1058
Total, 20-24 ani, TOTAL, Anul 2005, Numar persoane, 973
Total, 20-24 ani, TOTAL, Anul 2006, Numar persoane, 1020
Total, 20-24 ani, TOTAL, Anul 2007, Numar persoane, 1029
Total, 20-24 ani, TOTAL, Anul 2008, Numar persoane, 1162
Total, 20-24 ani, TOTAL, Anul 2009, Numar persoane, 1210
Total, 20-24 ani, TOTAL, Anul 2010, Numar persoane, 1112
Total, 20-24 ani, TOTAL, Anul 2011, Numar persoane, 999
Total, 20-24 ani, TOTAL, Anul 2012, Numar persoane, 997
Total, 20-24 ani, Covasna, Anul 1999, Numar persoane, 15
Total, 20-24 ani, Covasna, Anul 2000, Numar persoane, 15
Total, 20-24 ani, Covasna, Anul 2001, Numar persoane, 16
Total, 20-24 ani, Covasna, Anul 2002, Numar persoane, 16
Total, 20-24 ani, Covasna, Anul 2003, Numar persoane, 17
Total, 20-24 ani, Covasna, Anul 2004, Numar persoane, 16
Total, 20-24 ani, Covasna, Anul 2005, Numar persoane, 9
Total, 20-24 ani, Covasna, Anul 2006, Numar persoane, 5
Total, 20-24 ani, Covasna, Anul 2007, Numar persoane, 14
Total, 20-24 ani, Covasna, Anul 2008, Numar persoane, 12
Total, 20-24 ani, Covasna, Anul 2009, Numar persoane, 12
Total, 20-24 ani, Covasna, Anul 2010, Numar persoane, 11
Total, 20-24 ani, Covasna, Anul 2011, Numar persoane, 10
Total, 20-24 ani, Covasna, Anul 2012, Numar persoane, 12
Total, 20-24 ani, Harghita, Anul 1999, Numar persoane, 20
Total, 20-24 ani, Harghita, Anul 2000, Numar persoane, 26
Total, 20-24 ani, Harghita, Anul 2001, Numar persoane, 31
Total, 20-24 ani, Harghita, Anul 2002, Numar persoane, 21
Total, 20-24 ani, Harghita, Anul 2003, Numar persoane, 32
Total, 20-24 ani, Harghita, Anul 2004, Numar persoane, 18
Total, 20-24 ani, Harghita, Anul 2005, Numar persoane, 22
Total, 20-24 ani, Harghita, Anul 2006, Numar persoane, 25
Total, 20-24 ani, Harghita, Anul 2007, Numar persoane, 12
Total, 20-24 ani, Harghita, Anul 2008, Numar persoane, 24
Total, 20-24 ani, Harghita, Anul 2009, Numar persoane, 14
Total, 20-24 ani, Harghita, Anul 2010, Numar persoane, 17
Total, 20-24 ani, Harghita, Anul 2011, Numar persoane, 13
Total, 20-24 ani, Harghita, Anul 2012, Numar persoane, 21
Total, 20-24 ani, Mures, Anul 1999, Numar persoane, 46
Total, 20-24 ani, Mures, Anul 2000, Numar persoane, 34
Total, 20-24 ani, Mures, Anul 2001, Numar persoane, 41
Total, 20-24 ani, Mures, Anul 2002, Numar persoane, 36
Total, 20-24 ani, Mures, Anul 2003, Numar persoane, 35
Total, 20-24 ani, Mures, Anul 2004, Numar persoane, 27
Total, 20-24 ani, Mures, Anul 2005, Numar persoane, 29
Total, 20-24 ani, Mures, Anul 2006, Numar persoane, 20
Total, 20-24 ani, Mures, Anul 2007, Numar persoane, 36
Total, 20-24 ani, Mures, Anul 2008, Numar persoane, 33
Total, 20-24 ani, Mures, Anul 2009, Numar persoane, 35
Total, 20-24 ani, Mures, Anul 2010, Numar persoane, 34
Total, 20-24 ani, Mures, Anul 2011, Numar persoane, 42
Total, 20-24 ani, Mures, Anul 2012, Numar persoane, 33
Total, 25-29 ani, TOTAL, Anul 1999, Numar persoane, 1843
Total, 25-29 ani, TOTAL, Anul 2000, Numar persoane, 1698
Total, 25-29 ani, TOTAL, Anul 2001, Numar persoane, 1640
Total, 25-29 ani, TOTAL, Anul 2002, Numar persoane, 1598
Total, 25-29 ani, TOTAL, Anul 2003, Numar persoane, 1538
Total, 25-29 ani, TOTAL, Anul 2004, Numar persoane, 1428
Total, 25-29 ani, TOTAL, Anul 2005, Numar persoane, 1409
Total, 25-29 ani, TOTAL, Anul 2006, Numar persoane, 1421
Total, 25-29 ani, TOTAL, Anul 2007, Numar persoane, 1243
Total, 25-29 ani, TOTAL, Anul 2008, Numar persoane, 1201
Total, 25-29 ani, TOTAL, Anul 2009, Numar persoane, 1171
Total, 25-29 ani, TOTAL, Anul 2010, Numar persoane, 1132
Total, 25-29 ani, TOTAL, Anul 2011, Numar persoane, 976
Total, 25-29 ani, TOTAL, Anul 2012, Numar persoane, 958
Total, 25-29 ani, Covasna, Anul 1999, Numar persoane, 15
Total, 25-29 ani, Covasna, Anul 2000, Numar persoane, 23
Total, 25-29 ani, Covasna, Anul 2001, Numar persoane, 20
Total, 25-29 ani, Covasna, Anul 2002, Numar persoane, 22
Total, 25-29 ani, Covasna, Anul 2003, Numar persoane, 12
Total, 25-29 ani, Covasna, Anul 2004, Numar persoane, 12
Total, 25-29 ani, Covasna, Anul 2005, Numar persoane, 15
Total, 25-29 ani, Covasna, Anul 2006, Numar persoane, 10
Total, 25-29 ani, Covasna, Anul 2007, Numar persoane, 13
Total, 25-29 ani, Covasna, Anul 2008, Numar persoane, 19
Total, 25-29 ani, Covasna, Anul 2009, Numar persoane, 13
Total, 25-29 ani, Covasna, Anul 2010, Numar persoane, 11
Total, 25-29 ani, Covasna, Anul 2011, Numar persoane, 17
Total, 25-29 ani, Covasna, Anul 2012, Numar persoane, 11
Total, 25-29 ani, Harghita, Anul 1999, Numar persoane, 34
Total, 25-29 ani, Harghita, Anul 2000, Numar persoane, 29
Total, 25-29 ani, Harghita, Anul 2001, Numar persoane, 37
Total, 25-29 ani, Harghita, Anul 2002, Numar persoane, 25
Total, 25-29 ani, Harghita, Anul 2003, Numar persoane, 27
Total, 25-29 ani, Harghita, Anul 2004, Numar persoane, 25
Total, 25-29 ani, Harghita, Anul 2005, Numar persoane, 32
Total, 25-29 ani, Harghita, Anul 2006, Numar persoane, 16
Total, 25-29 ani, Harghita, Anul 2007, Numar persoane, 25
Total, 25-29 ani, Harghita, Anul 2008, Numar persoane, 26
Total, 25-29 ani, Harghita, Anul 2009, Numar persoane, 19
Total, 25-29 ani, Harghita, Anul 2010, Numar persoane, 24
Total, 25-29 ani, Harghita, Anul 2011, Numar persoane, 8
Total, 25-29 ani, Harghita, Anul 2012, Numar persoane, 13
Total, 25-29 ani, Mures, Anul 1999, Numar persoane, 46
Total, 25-29 ani, Mures, Anul 2000, Numar persoane, 51
Total, 25-29 ani, Mures, Anul 2001, Numar persoane, 58
Total, 25-29 ani, Mures, Anul 2002, Numar persoane, 46
Total, 25-29 ani, Mures, Anul 2003, Numar persoane, 46
Total, 25-29 ani, Mures, Anul 2004, Numar persoane, 35
Total, 25-29 ani, Mures, Anul 2005, Numar persoane, 48
Total, 25-29 ani, Mures, Anul 2006, Numar persoane, 26
Total, 25-29 ani, Mures, Anul 2007, Numar persoane, 40
Total, 25-29 ani, Mures, Anul 2008, Numar persoane, 32
Total, 25-29 ani, Mures, Anul 2009, Numar persoane, 33
Total, 25-29 ani, Mures, Anul 2010, Numar persoane, 35
Total, 25-29 ani, Mures, Anul 2011, Numar persoane, 22
Total, 25-29 ani, Mures, Anul 2012, Numar persoane, 31
Total, 30-34 ani, TOTAL, Anul 1999, Numar persoane, 2394
Total, 30-34 ani, TOTAL, Anul 2000, Numar persoane, 2498
Total, 30-34 ani, TOTAL, Anul 2001, Numar persoane, 2652
Total, 30-34 ani, TOTAL, Anul 2002, Numar persoane, 2687
Total, 30-34 ani, TOTAL, Anul 2003, Numar persoane, 2358
Total, 30-34 ani, TOTAL, Anul 2004, Numar persoane, 2149
Total, 30-34 ani, TOTAL, Anul 2005, Numar persoane, 1979
Total, 30-34 ani, TOTAL, Anul 2006, Numar persoane, 1839
Total, 30-34 ani, TOTAL, Anul 2007, Numar persoane, 1832
Total, 30-34 ani, TOTAL, Anul 2008, Numar persoane, 1901
Total, 30-34 ani, TOTAL, Anul 2009, Numar persoane, 1841
Total, 30-34 ani, TOTAL, Anul 2010, Numar persoane, 1795
Total, 30-34 ani, TOTAL, Anul 2011, Numar persoane, 1607
Total, 30-34 ani, TOTAL, Anul 2012, Numar persoane, 1438
Total, 30-34 ani, Covasna, Anul 1999, Numar persoane, 22
Total, 30-34 ani, Covasna, Anul 2000, Numar persoane, 24
Total, 30-34 ani, Covasna, Anul 2001, Numar persoane, 29
Total, 30-34 ani, Covasna, Anul 2002, Numar persoane, 35
Total, 30-34 ani, Covasna, Anul 2003, Numar persoane, 25
Total, 30-34 ani, Covasna, Anul 2004, Numar persoane, 27
Total, 30-34 ani, Covasna, Anul 2005, Numar persoane, 26
Total, 30-34 ani, Covasna, Anul 2006, Numar persoane, 30
Total, 30-34 ani, Covasna, Anul 2007, Numar persoane, 18
Total, 30-34 ani, Covasna, Anul 2008, Numar persoane, 27
Total, 30-34 ani, Covasna, Anul 2009, Numar persoane, 20
Total, 30-34 ani, Covasna, Anul 2010, Numar persoane, 18
Total, 30-34 ani, Covasna, Anul 2011, Numar persoane, 14
Total, 30-34 ani, Covasna, Anul 2012, Numar persoane, 15
Total, 30-34 ani, Harghita, Anul 1999, Numar persoane, 35
Total, 30-34 ani, Harghita, Anul 2000, Numar persoane, 35
