
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 42066
Total, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 43351
Total, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 40996
Total, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 42456
Total, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 41760
Total, Total, Regiunea SUD-EST, Anul 1990, Numar persoane, 29405
Total, Total, Regiunea SUD-EST, Anul 1991, Numar persoane, 30196
Total, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 30672
Total, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 31070
Total, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 33122
Total, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 33265
Total, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 35309
Total, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 34368
Total, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 32809
Total, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 32960
Total, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 31969
Total, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 33128
Total, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 33835
Total, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 33756
Total, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 32334
Total, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 32431
Total, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 32153
Total, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 32375
Total, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 32805
Total, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 33215
Total, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 34042
Total, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 33042
Total, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 33641
Total, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 32963
Total, Total, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 41861
Total, Total, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 42351
Total, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 44571
Total, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 43937
Total, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 43914
Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 45839
Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 48726
Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 47132
Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 45510
Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 44570
Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 42911
Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 43879
Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 46023
Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 45669
Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 43479
Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 44412
Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 43498
Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 42288
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 42917
Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 43620
Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 43588
Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 42711
Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 43246
Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 41962
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 24102
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 24754
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 25934
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 26180
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 25901
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 26829
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 28141
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 27206
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 26100
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 25542
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 25097
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 24929
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 25389
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 25104
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 24182
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 25537
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 25409
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 25114
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 24534
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 24596
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 24846
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 24722
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 25578
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 24503
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 29199
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 29444
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 31048
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 30367
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 30528
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 31686
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 33657
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 33024
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 32213
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 31313
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 29327
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 30151
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 32107
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 31074
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 30348
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 30969
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 29858
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 29083
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 29315
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 29355
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 29663
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 28272
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 28339
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 27327
Total, Total, Regiunea VEST, Anul 1990, Numar persoane, 25944
Total, Total, Regiunea VEST, Anul 1991, Numar persoane, 26324
Total, Total, Regiunea VEST, Anul 1992, Numar persoane, 27362
Total, Total, Regiunea VEST, Anul 1993, Numar persoane, 26916
Total, Total, Regiunea VEST, Anul 1994, Numar persoane, 26762
Total, Total, Regiunea VEST, Anul 1995, Numar persoane, 27046
Total, Total, Regiunea VEST, Anul 1996, Numar persoane, 27993
Total, Total, Regiunea VEST, Anul 1997, Numar persoane, 27190
Total, Total, Regiunea VEST, Anul 1998, Numar persoane, 26277
Total, Total, Regiunea VEST, Anul 1999, Numar persoane, 25948
Total, Total, Regiunea VEST, Anul 2000, Numar persoane, 24626
Total, Total, Regiunea VEST, Anul 2001, Numar persoane, 24594
Total, Total, Regiunea VEST, Anul 2002, Numar persoane, 24899
Total, Total, Regiunea VEST, Anul 2003, Numar persoane, 25075
Total, Total, Regiunea VEST, Anul 2004, Numar persoane, 25023
Total, Total, Regiunea VEST, Anul 2005, Numar persoane, 25078
Total, Total, Regiunea VEST, Anul 2006, Numar persoane, 24784
Total, Total, Regiunea VEST, Anul 2007, Numar persoane, 23362
Total, Total, Regiunea VEST, Anul 2008, Numar persoane, 23362
Total, Total, Regiunea VEST, Anul 2009, Numar persoane, 23908
Total, Total, Regiunea VEST, Anul 2010, Numar persoane, 24064
Total, Total, Regiunea VEST, Anul 2011, Numar persoane, 23218
Total, Total, Regiunea VEST, Anul 2012, Numar persoane, 23012
Total, Total, Regiunea VEST, Anul 2013, Numar persoane, 22989
Total, 0-  4 ani, TOTAL, Anul 1990, Numar persoane, 11227
Total, 0-  4 ani, TOTAL, Anul 1991, Numar persoane, 8492
Total, 0-  4 ani, TOTAL, Anul 1992, Numar persoane, 7932
Total, 0-  4 ani, TOTAL, Anul 1993, Numar persoane, 7573
Total, 0-  4 ani, TOTAL, Anul 1994, Numar persoane, 7338
Total, 0-  4 ani, TOTAL, Anul 1995, Numar persoane, 6207
Total, 0-  4 ani, TOTAL, Anul 1996, Numar persoane, 6367
Total, 0-  4 ani, TOTAL, Anul 1997, Numar persoane, 6252
Total, 0-  4 ani, TOTAL, Anul 1998, Numar persoane, 5845
Total, 0-  4 ani, TOTAL, Anul 1999, Numar persoane, 5303
Total, 0-  4 ani, TOTAL, Anul 2000, Numar persoane, 5202
Total, 0-  4 ani, TOTAL, Anul 2001, Numar persoane, 4818
Total, 0-  4 ani, TOTAL, Anul 2002, Numar persoane, 4379
Total, 0-  4 ani, TOTAL, Anul 2003, Numar persoane, 4187
Total, 0-  4 ani, TOTAL, Anul 2004, Numar persoane, 4261
Total, 0-  4 ani, TOTAL, Anul 2005, Numar persoane, 3869
Total, 0-  4 ani, TOTAL, Anul 2006, Numar persoane, 3600
Total, 0-  4 ani, TOTAL, Anul 2007, Numar persoane, 3046
Total, 0-  4 ani, TOTAL, Anul 2008, Numar persoane, 2865
Total, 0-  4 ani, TOTAL, Anul 2009, Numar persoane, 2660
Total, 0-  4 ani, TOTAL, Anul 2010, Numar persoane, 2502
Total, 0-  4 ani, TOTAL, Anul 2011, Numar persoane, 2264
Total, 0-  4 ani, TOTAL, Anul 2012, Numar persoane, 2132
Total, 0-  4 ani, TOTAL, Anul 2013, Numar persoane, 1988
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1990, Numar persoane, 1352
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1991, Numar persoane, 1080
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1992, Numar persoane, 1004
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1993, Numar persoane, 964
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1994, Numar persoane, 886
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1995, Numar persoane, 725
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1996, Numar persoane, 768
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1997, Numar persoane, 801
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1998, Numar persoane, 751
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 1999, Numar persoane, 704
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2000, Numar persoane, 619
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2001, Numar persoane, 565
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2002, Numar persoane, 540
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2003, Numar persoane, 463
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2004, Numar persoane, 526
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2005, Numar persoane, 482
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2006, Numar persoane, 466
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2007, Numar persoane, 381
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2008, Numar persoane, 370
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2009, Numar persoane, 348
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2010, Numar persoane, 289
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2011, Numar persoane, 293
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2012, Numar persoane, 281
Total, 0-  4 ani, Regiunea NORD-VEST, Anul 2013, Numar persoane, 265
Total, 0-  4 ani, Regiunea CENTRU, Anul 1990, Numar persoane, 1019
Total, 0-  4 ani, Regiunea CENTRU, Anul 1991, Numar persoane, 773
Total, 0-  4 ani, Regiunea CENTRU, Anul 1992, Numar persoane, 702
Total, 0-  4 ani, Regiunea CENTRU, Anul 1993, Numar persoane, 691
Total, 0-  4 ani, Regiunea CENTRU, Anul 1994, Numar persoane, 627
Total, 0-  4 ani, Regiunea CENTRU, Anul 1995, Numar persoane, 530
Total, 0-  4 ani, Regiunea CENTRU, Anul 1996, Numar persoane, 547
Total, 0-  4 ani, Regiunea CENTRU, Anul 1997, Numar persoane, 625
Total, 0-  4 ani, Regiunea CENTRU, Anul 1998, Numar persoane, 610
Total, 0-  4 ani, Regiunea CENTRU, Anul 1999, Numar persoane, 581
Total, 0-  4 ani, Regiunea CENTRU, Anul 2000, Numar persoane, 528
Total, 0-  4 ani, Regiunea CENTRU, Anul 2001, Numar persoane, 481
Total, 0-  4 ani, Regiunea CENTRU, Anul 2002, Numar persoane, 488
Total, 0-  4 ani, Regiunea CENTRU, Anul 2003, Numar persoane, 473
Total, 0-  4 ani, Regiunea CENTRU, Anul 2004, Numar persoane, 537
Total, 0-  4 ani, Regiunea CENTRU, Anul 2005, Numar persoane, 455
Total, 0-  4 ani, Regiunea CENTRU, Anul 2006, Numar persoane, 400
Total, 0-  4 ani, Regiunea CENTRU, Anul 2007, Numar persoane, 391
Total, 0-  4 ani, Regiunea CENTRU, Anul 2008, Numar persoane, 348
Total, 0-  4 ani, Regiunea CENTRU, Anul 2009, Numar persoane, 336
Total, 0-  4 ani, Regiunea CENTRU, Anul 2010, Numar persoane, 290
Total, 0-  4 ani, Regiunea CENTRU, Anul 2011, Numar persoane, 314
Total, 0-  4 ani, Regiunea CENTRU, Anul 2012, Numar persoane, 267
Total, 0-  4 ani, Regiunea CENTRU, Anul 2013, Numar persoane, 256
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1990, Numar persoane, 2492
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1991, Numar persoane, 1932
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1992, Numar persoane, 1872
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1993, Numar persoane, 1817
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1994, Numar persoane, 1822
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1995, Numar persoane, 1567
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1996, Numar persoane, 1576
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1997, Numar persoane, 1543
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1998, Numar persoane, 1408
Total, 0-  4 ani, Regiunea NORD-EST, Anul 1999, Numar persoane, 1267
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2000, Numar persoane, 1363
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2001, Numar persoane, 1247
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2002, Numar persoane, 1106
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2003, Numar persoane, 1009
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2004, Numar persoane, 944
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2005, Numar persoane, 863
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2006, Numar persoane, 793
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2007, Numar persoane, 706
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2008, Numar persoane, 581
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2009, Numar persoane, 555
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2010, Numar persoane, 530
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2011, Numar persoane, 457
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2012, Numar persoane, 435
Total, 0-  4 ani, Regiunea NORD-EST, Anul 2013, Numar persoane, 410
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1990, Numar persoane, 1708
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1991, Numar persoane, 1324
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1992, Numar persoane, 1205
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1993, Numar persoane, 1035
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1994, Numar persoane, 1041
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1995, Numar persoane, 856
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1996, Numar persoane, 860
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1997, Numar persoane, 826
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1998, Numar persoane, 797
Total, 0-  4 ani, Regiunea SUD-EST, Anul 1999, Numar persoane, 750
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2000, Numar persoane, 705
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2001, Numar persoane, 705
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2002, Numar persoane, 636
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2003, Numar persoane, 599
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2004, Numar persoane, 582
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2005, Numar persoane, 548
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2006, Numar persoane, 467
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2007, Numar persoane, 426
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2008, Numar persoane, 413
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2009, Numar persoane, 359
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2010, Numar persoane, 384
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2011, Numar persoane, 336
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2012, Numar persoane, 320
Total, 0-  4 ani, Regiunea SUD-EST, Anul 2013, Numar persoane, 283
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 1826
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 1308
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 1285
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 1230
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 1150
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 1005
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 1024
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 977
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 903
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 810
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 778
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 796
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 641
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 710
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 636
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 598
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 565
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 418
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 448
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 392
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 409
Total, 0-  4 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 347
