,share,Unnamed: 0,LOC,COUNTRY,LAT,LON,ELEVATION,Dátum,Dátums,Mondás,Jelentés,DS,Dátum:mettől,Dátum:meddig,Kondíció,Érték,Periódus:mettől,Periódus:meddig,Mennyiség,Irány,W
0,57,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,39,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
1,66,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,60,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,54,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,62,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,39,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,66,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,57,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,77,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,58,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,71,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,54,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
1,65,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-01-18,január 18.,"Ha Piroska napján fagy, az negyven napig el nem hagy.","Ha ezen a dátumon fagy, akkor a következő 40 napban fagypont alatti idő várható.",jan. 18,2019-01-18,2019-01-18,Temp,<0,2019-01-18,2019-02-27,Temp,<0,8.0
4,43,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,50,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,24,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,37,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,57,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,30,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,31,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,50,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,39,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,35,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,50,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
4,20,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-02-02,február 2.,"Ha a medve ma meglátja a saját árnyékát, hosszú tél lesz!","Ha ezen a dátumon derűs, a következő két hónapban az átlagosnál hidegebb idő várható.",feb. 2,2019-02-02,2019-02-02,Visib,>8,2019-02-02,2019-04-02,Temp,-,
5,3,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,0,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,3,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,7,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,0,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,3,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,0,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,0,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,3,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,0,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,8,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
5,0,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-02-03,február 3.,A Balázs napi esõ jégverést hoz.,"Ha ezen a dátumon esik, jégeső várható a nyár elején.",feb. 3,2019-02-03,2019-02-03,Rain,>0.2,2019-06-21,2019-08-06,Hail,+,
6,86,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,90,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,70,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,75,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,75,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,85,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,70,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,83,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,78,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,78,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,83,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
6,84,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-02-06,február 6.,"Dorottya szorítja, Julika tágítja!","Ha ezen a dátumon fagy, akkor a következő 10 napban fagypont alatti idő várható.",feb. 6,2019-02-06,2019-02-06,Temp,<0,2019-02-06,2019-02-16,Temp,<0,
7,57,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,65,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,68,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,46,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,64,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,57,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,77,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,57,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,69,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,58,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,63,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
7,67,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-02-19,február 19.,"Ha Zsuzsanna napján a pacsirták szólnak, vége lesz a hónak.","Ha ezen a dátumon derűs, a következő hónapban az átlagosnál melegebb idő várható.",feb. 19,2019-02-19,2019-02-19,Visib,>8,2019-02-19,2019-03-19,Temp,+,
8,11,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,0,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,7,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,15,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,0,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,28,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,11,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,24,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,11,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,16,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,7,79,TRAIAN VUIA,ROMANIA,45.81,21.338,106.1,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
8,15,82,SIBIU,ROMANIA,45.786,24.090999999999998,456.0,2019-02-24,február 24.,"Mátyás ront, ha talál, (ha nem talál, csinál)!","Ha ezen a dátumon fagy, akkor a következő 10 napban az átlagosnál melegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,<0,2019-02-24,2019-03-06,Temp,+,
9,29,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-02-24,február 24.,"Mátyás (ront, ha talál), ha nem talál, csinál!","Ha ezen a dátumon nem fagy, akkor a következő 10 napban az átlagosnál hidegebb idő várható.",feb. 24,2019-02-24,2019-02-24,Temp,>0,2019-02-24,2019-03-06,Temp,-,
