
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
TOTAL, Total, Regiunea SUD-EST, Anul 2010, Mii persoane, 994.9
TOTAL, Total, Regiunea SUD-EST, Anul 2011, Mii persoane, 986.2
TOTAL, Total, Regiunea SUD-EST, Anul 2012, Mii persoane, 1011
TOTAL, Total, Regiunea SUD-EST, Anul 2013, Mii persoane, 1003.9
TOTAL, Total, Braila, Anul 2008, Mii persoane, 132.3
TOTAL, Total, Braila, Anul 2009, Mii persoane, 127.1
TOTAL, Total, Braila, Anul 2010, Mii persoane, 123.1
TOTAL, Total, Braila, Anul 2011, Mii persoane, 123.1
TOTAL, Total, Braila, Anul 2012, Mii persoane, 123.8
TOTAL, Total, Braila, Anul 2013, Mii persoane, 122.3
TOTAL, Total, Buzau, Anul 2008, Mii persoane, 178.6
TOTAL, Total, Buzau, Anul 2009, Mii persoane, 173.6
TOTAL, Total, Buzau, Anul 2010, Mii persoane, 174.2
TOTAL, Total, Buzau, Anul 2011, Mii persoane, 173.4
TOTAL, Total, Buzau, Anul 2012, Mii persoane, 176.4
TOTAL, Total, Buzau, Anul 2013, Mii persoane, 175.4
TOTAL, Total, Constanta, Anul 2008, Mii persoane, 309
TOTAL, Total, Constanta, Anul 2009, Mii persoane, 295.7
TOTAL, Total, Constanta, Anul 2010, Mii persoane, 291.6
TOTAL, Total, Constanta, Anul 2011, Mii persoane, 287.3
TOTAL, Total, Constanta, Anul 2012, Mii persoane, 295
TOTAL, Total, Constanta, Anul 2013, Mii persoane, 295.1
TOTAL, Total, Galati, Anul 2008, Mii persoane, 206.3
TOTAL, Total, Galati, Anul 2009, Mii persoane, 191.8
TOTAL, Total, Galati, Anul 2010, Mii persoane, 183.6
TOTAL, Total, Galati, Anul 2011, Mii persoane, 181.9
TOTAL, Total, Galati, Anul 2012, Mii persoane, 185.9
TOTAL, Total, Galati, Anul 2013, Mii persoane, 186.3
TOTAL, Total, Tulcea, Anul 2008, Mii persoane, 86.8
TOTAL, Total, Tulcea, Anul 2009, Mii persoane, 82.6
TOTAL, Total, Tulcea, Anul 2010, Mii persoane, 80.2
TOTAL, Total, Tulcea, Anul 2011, Mii persoane, 80
TOTAL, Total, Tulcea, Anul 2012, Mii persoane, 84.4
TOTAL, Total, Tulcea, Anul 2013, Mii persoane, 82.9
TOTAL, Total, Vrancea, Anul 2008, Mii persoane, 144.6
TOTAL, Total, Vrancea, Anul 2009, Mii persoane, 140.3
TOTAL, Total, Vrancea, Anul 2010, Mii persoane, 142.2
TOTAL, Total, Vrancea, Anul 2011, Mii persoane, 140.5
TOTAL, Total, Vrancea, Anul 2012, Mii persoane, 145.5
TOTAL, Total, Vrancea, Anul 2013, Mii persoane, 141.9
TOTAL, Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 2482.7
TOTAL, Total, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 2380.2
TOTAL, Total, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 2369.6
TOTAL, Total, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 2379
TOTAL, Total, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 2421.6
TOTAL, Total, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 2425.7
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 1201
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 1159.9
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2010, Mii persoane, 1154.8
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2011, Mii persoane, 1154.5
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2012, Mii persoane, 1182.6
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2013, Mii persoane, 1168.8
TOTAL, Total, Arges, Anul 2008, Mii persoane, 256
TOTAL, Total, Arges, Anul 2009, Mii persoane, 241.6
TOTAL, Total, Arges, Anul 2010, Mii persoane, 240.9
TOTAL, Total, Arges, Anul 2011, Mii persoane, 241.7
TOTAL, Total, Arges, Anul 2012, Mii persoane, 249.4
TOTAL, Total, Arges, Anul 2013, Mii persoane, 246.8
TOTAL, Total, Calarasi, Anul 2008, Mii persoane, 101.3
TOTAL, Total, Calarasi, Anul 2009, Mii persoane, 96.8
TOTAL, Total, Calarasi, Anul 2010, Mii persoane, 100.2
TOTAL, Total, Calarasi, Anul 2011, Mii persoane, 99.2
TOTAL, Total, Calarasi, Anul 2012, Mii persoane, 100.9
TOTAL, Total, Calarasi, Anul 2013, Mii persoane, 98.8
TOTAL, Total, Dambovita, Anul 2008, Mii persoane, 198.5
TOTAL, Total, Dambovita, Anul 2009, Mii persoane, 193.1
TOTAL, Total, Dambovita, Anul 2010, Mii persoane, 193.6
TOTAL, Total, Dambovita, Anul 2011, Mii persoane, 193.3
TOTAL, Total, Dambovita, Anul 2012, Mii persoane, 196.9
TOTAL, Total, Dambovita, Anul 2013, Mii persoane, 193.5
TOTAL, Total, Giurgiu, Anul 2008, Mii persoane, 88
TOTAL, Total, Giurgiu, Anul 2009, Mii persoane, 86.5
TOTAL, Total, Giurgiu, Anul 2010, Mii persoane, 85.2
TOTAL, Total, Giurgiu, Anul 2011, Mii persoane, 87.5
TOTAL, Total, Giurgiu, Anul 2012, Mii persoane, 89.8
TOTAL, Total, Giurgiu, Anul 2013, Mii persoane, 87.9
TOTAL, Total, Ialomita, Anul 2008, Mii persoane, 100.1
TOTAL, Total, Ialomita, Anul 2009, Mii persoane, 97.4
TOTAL, Total, Ialomita, Anul 2010, Mii persoane, 95.5
TOTAL, Total, Ialomita, Anul 2011, Mii persoane, 96
TOTAL, Total, Ialomita, Anul 2012, Mii persoane, 99
TOTAL, Total, Ialomita, Anul 2013, Mii persoane, 97.7
TOTAL, Total, Prahova, Anul 2008, Mii persoane, 302.3
TOTAL, Total, Prahova, Anul 2009, Mii persoane, 291.4
TOTAL, Total, Prahova, Anul 2010, Mii persoane, 286.7
TOTAL, Total, Prahova, Anul 2011, Mii persoane, 284.2
TOTAL, Total, Prahova, Anul 2012, Mii persoane, 288.3
TOTAL, Total, Prahova, Anul 2013, Mii persoane, 289.8
TOTAL, Total, Teleorman, Anul 2008, Mii persoane, 154.8
TOTAL, Total, Teleorman, Anul 2009, Mii persoane, 153.1
TOTAL, Total, Teleorman, Anul 2010, Mii persoane, 152.7
TOTAL, Total, Teleorman, Anul 2011, Mii persoane, 152.6
TOTAL, Total, Teleorman, Anul 2012, Mii persoane, 158.3
TOTAL, Total, Teleorman, Anul 2013, Mii persoane, 154.3
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 1281.7
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Mii persoane, 1220.3
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Mii persoane, 1214.8
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Mii persoane, 1224.5
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Mii persoane, 1239
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Mii persoane, 1256.9
TOTAL, Total, Ilfov, Anul 2008, Mii persoane, 159.6
TOTAL, Total, Ilfov, Anul 2009, Mii persoane, 156
TOTAL, Total, Ilfov, Anul 2010, Mii persoane, 157.2
TOTAL, Total, Ilfov, Anul 2011, Mii persoane, 162.5
TOTAL, Total, Ilfov, Anul 2012, Mii persoane, 168.4
TOTAL, Total, Ilfov, Anul 2013, Mii persoane, 165.9
TOTAL, Total, Municipiul Bucuresti, Anul 2008, Mii persoane, 1122.1
TOTAL, Total, Municipiul Bucuresti, Anul 2009, Mii persoane, 1064.3
TOTAL, Total, Municipiul Bucuresti, Anul 2010, Mii persoane, 1057.6
TOTAL, Total, Municipiul Bucuresti, Anul 2011, Mii persoane, 1062
TOTAL, Total, Municipiul Bucuresti, Anul 2012, Mii persoane, 1070.6
TOTAL, Total, Municipiul Bucuresti, Anul 2013, Mii persoane, 1091
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 1723.4
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2009, Mii persoane, 1652.9
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2010, Mii persoane, 1644.1
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2011, Mii persoane, 1644
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2012, Mii persoane, 1684.4
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2013, Mii persoane, 1668.5
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 867
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Mii persoane, 836.1
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Mii persoane, 832.8
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Mii persoane, 828.9
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii persoane, 848
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii persoane, 832
TOTAL, Total, Dolj, Anul 2008, Mii persoane, 276.6
TOTAL, Total, Dolj, Anul 2009, Mii persoane, 264.1
TOTAL, Total, Dolj, Anul 2010, Mii persoane, 267.7
TOTAL, Total, Dolj, Anul 2011, Mii persoane, 261.1
TOTAL, Total, Dolj, Anul 2012, Mii persoane, 266.2
TOTAL, Total, Dolj, Anul 2013, Mii persoane, 262.7
TOTAL, Total, Gorj, Anul 2008, Mii persoane, 139.4
TOTAL, Total, Gorj, Anul 2009, Mii persoane, 137.5
TOTAL, Total, Gorj, Anul 2010, Mii persoane, 132.5
TOTAL, Total, Gorj, Anul 2011, Mii persoane, 133.3
TOTAL, Total, Gorj, Anul 2012, Mii persoane, 135.3
TOTAL, Total, Gorj, Anul 2013, Mii persoane, 134.4
TOTAL, Total, Mehedinti, Anul 2008, Mii persoane, 111.8
TOTAL, Total, Mehedinti, Anul 2009, Mii persoane, 107.1
TOTAL, Total, Mehedinti, Anul 2010, Mii persoane, 104.6
TOTAL, Total, Mehedinti, Anul 2011, Mii persoane, 105.4
TOTAL, Total, Mehedinti, Anul 2012, Mii persoane, 108.5
TOTAL, Total, Mehedinti, Anul 2013, Mii persoane, 105.3
TOTAL, Total, Olt, Anul 2008, Mii persoane, 169.3
TOTAL, Total, Olt, Anul 2009, Mii persoane, 161
TOTAL, Total, Olt, Anul 2010, Mii persoane, 161.6
TOTAL, Total, Olt, Anul 2011, Mii persoane, 162.6
TOTAL, Total, Olt, Anul 2012, Mii persoane, 167.4
TOTAL, Total, Olt, Anul 2013, Mii persoane, 163.5
TOTAL, Total, Valcea, Anul 2008, Mii persoane, 169.9
TOTAL, Total, Valcea, Anul 2009, Mii persoane, 166.4
TOTAL, Total, Valcea, Anul 2010, Mii persoane, 166.4
TOTAL, Total, Valcea, Anul 2011, Mii persoane, 166.5
TOTAL, Total, Valcea, Anul 2012, Mii persoane, 170.6
TOTAL, Total, Valcea, Anul 2013, Mii persoane, 166.1
TOTAL, Total, Regiunea VEST, Anul 2008, Mii persoane, 856.4
TOTAL, Total, Regiunea VEST, Anul 2009, Mii persoane, 816.8
TOTAL, Total, Regiunea VEST, Anul 2010, Mii persoane, 811.3
TOTAL, Total, Regiunea VEST, Anul 2011, Mii persoane, 815.1
TOTAL, Total, Regiunea VEST, Anul 2012, Mii persoane, 836.4
TOTAL, Total, Regiunea VEST, Anul 2013, Mii persoane, 836.5
TOTAL, Total, Arad, Anul 2008, Mii persoane, 208.2
TOTAL, Total, Arad, Anul 2009, Mii persoane, 199.7
TOTAL, Total, Arad, Anul 2010, Mii persoane, 200.4
TOTAL, Total, Arad, Anul 2011, Mii persoane, 201.3
TOTAL, Total, Arad, Anul 2012, Mii persoane, 206.2
TOTAL, Total, Arad, Anul 2013, Mii persoane, 210.4
TOTAL, Total, Caras-Severin, Anul 2008, Mii persoane, 121
TOTAL, Total, Caras-Severin, Anul 2009, Mii persoane, 117.4
TOTAL, Total, Caras-Severin, Anul 2010, Mii persoane, 114
TOTAL, Total, Caras-Severin, Anul 2011, Mii persoane, 112.6
TOTAL, Total, Caras-Severin, Anul 2012, Mii persoane, 115.1
TOTAL, Total, Caras-Severin, Anul 2013, Mii persoane, 112.2
TOTAL, Total, Hunedoara, Anul 2008, Mii persoane, 192.8
TOTAL, Total, Hunedoara, Anul 2009, Mii persoane, 182.4
TOTAL, Total, Hunedoara, Anul 2010, Mii persoane, 178.3
TOTAL, Total, Hunedoara, Anul 2011, Mii persoane, 176.1
TOTAL, Total, Hunedoara, Anul 2012, Mii persoane, 180.9
TOTAL, Total, Hunedoara, Anul 2013, Mii persoane, 179.5
TOTAL, Total, Timis, Anul 2008, Mii persoane, 334.4
TOTAL, Total, Timis, Anul 2009, Mii persoane, 317.3
TOTAL, Total, Timis, Anul 2010, Mii persoane, 318.6
TOTAL, Total, Timis, Anul 2011, Mii persoane, 325.1
TOTAL, Total, Timis, Anul 2012, Mii persoane, 334.2
TOTAL, Total, Timis, Anul 2013, Mii persoane, 334.4
TOTAL, Feminin, TOTAL, Anul 2008, Mii persoane, 4044
TOTAL, Feminin, TOTAL, Anul 2009, Mii persoane, 3964
TOTAL, Feminin, TOTAL, Anul 2010, Mii persoane, 3952.1
TOTAL, Feminin, TOTAL, Anul 2011, Mii persoane, 3977.3
TOTAL, Feminin, TOTAL, Anul 2012, Mii persoane, 4054.9
TOTAL, Feminin, TOTAL, Anul 2013, Mii persoane, 4005.8
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 1037.1
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 1014.4
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 1011.9
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 1016.2
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 1037.3
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 1021.9
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2008, Mii persoane, 555.8
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2009, Mii persoane, 552.2
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2010, Mii persoane, 551.9
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2011, Mii persoane, 551.1
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2012, Mii persoane, 562.4
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2013, Mii persoane, 552.2
TOTAL, Feminin, Bihor, Anul 2008, Mii persoane, 129.4
TOTAL, Feminin, Bihor, Anul 2009, Mii persoane, 134.5
TOTAL, Feminin, Bihor, Anul 2010, Mii persoane, 132
TOTAL, Feminin, Bihor, Anul 2011, Mii persoane, 129.7
TOTAL, Feminin, Bihor, Anul 2012, Mii persoane, 131.1
TOTAL, Feminin, Bihor, Anul 2013, Mii persoane, 124.9
TOTAL, Feminin, Bistrita-Nasaud, Anul 2008, Mii persoane, 58.8
TOTAL, Feminin, Bistrita-Nasaud, Anul 2009, Mii persoane, 61
TOTAL, Feminin, Bistrita-Nasaud, Anul 2010, Mii persoane, 60.3
TOTAL, Feminin, Bistrita-Nasaud, Anul 2011, Mii persoane, 61.3
TOTAL, Feminin, Bistrita-Nasaud, Anul 2012, Mii persoane, 63.2
TOTAL, Feminin, Bistrita-Nasaud, Anul 2013, Mii persoane, 60.5
TOTAL, Feminin, Cluj, Anul 2008, Mii persoane, 153.7
TOTAL, Feminin, Cluj, Anul 2009, Mii persoane, 143.6
TOTAL, Feminin, Cluj, Anul 2010, Mii persoane, 151.4
TOTAL, Feminin, Cluj, Anul 2011, Mii persoane, 147.3
TOTAL, Feminin, Cluj, Anul 2012, Mii persoane, 149.9
TOTAL, Feminin, Cluj, Anul 2013, Mii persoane, 151.7
TOTAL, Feminin, Maramures, Anul 2008, Mii persoane, 94.4
TOTAL, Feminin, Maramures, Anul 2009, Mii persoane, 96.6
TOTAL, Feminin, Maramures, Anul 2010, Mii persoane, 91.5
TOTAL, Feminin, Maramures, Anul 2011, Mii persoane, 95.4
TOTAL, Feminin, Maramures, Anul 2012, Mii persoane, 97.3
TOTAL, Feminin, Maramures, Anul 2013, Mii persoane, 94.6
TOTAL, Feminin, Satu Mare, Anul 2008, Mii persoane, 72.2
TOTAL, Feminin, Satu Mare, Anul 2009, Mii persoane, 70.1
TOTAL, Feminin, Satu Mare, Anul 2010, Mii persoane, 71.6
TOTAL, Feminin, Satu Mare, Anul 2011, Mii persoane, 71
TOTAL, Feminin, Satu Mare, Anul 2012, Mii persoane, 73.6
TOTAL, Feminin, Satu Mare, Anul 2013, Mii persoane, 73.2
TOTAL, Feminin, Salaj, Anul 2008, Mii persoane, 47.3
TOTAL, Feminin, Salaj, Anul 2009, Mii persoane, 46.4
TOTAL, Feminin, Salaj, Anul 2010, Mii persoane, 45.1
TOTAL, Feminin, Salaj, Anul 2011, Mii persoane, 46.4
TOTAL, Feminin, Salaj, Anul 2012, Mii persoane, 47.3
TOTAL, Feminin, Salaj, Anul 2013, Mii persoane, 47.3
TOTAL, Feminin, Regiunea CENTRU, Anul 2008, Mii persoane, 481.3
TOTAL, Feminin, Regiunea CENTRU, Anul 2009, Mii persoane, 462.2
