
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Total, Alba, Anul 2006, Mii persoane, 170.9
Total, Total, Alba, Anul 2007, Mii persoane, 173.5
Total, Total, Alba, Anul 2008, Mii persoane, 168.6
Total, Total, Brasov, Anul 2001, Mii persoane, 237.2
Total, Total, Brasov, Anul 2002, Mii persoane, 239.5
Total, Total, Brasov, Anul 2003, Mii persoane, 230.5
Total, Total, Brasov, Anul 2004, Mii persoane, 229
Total, Total, Brasov, Anul 2005, Mii persoane, 227
Total, Total, Brasov, Anul 2006, Mii persoane, 230.9
Total, Total, Brasov, Anul 2007, Mii persoane, 237.2
Total, Total, Brasov, Anul 2008, Mii persoane, 239.6
Total, Total, Covasna, Anul 2001, Mii persoane, 87.3
Total, Total, Covasna, Anul 2002, Mii persoane, 87.4
Total, Total, Covasna, Anul 2003, Mii persoane, 88.9
Total, Total, Covasna, Anul 2004, Mii persoane, 86.7
Total, Total, Covasna, Anul 2005, Mii persoane, 85.3
Total, Total, Covasna, Anul 2006, Mii persoane, 85.2
Total, Total, Covasna, Anul 2007, Mii persoane, 88.3
Total, Total, Covasna, Anul 2008, Mii persoane, 87
Total, Total, Harghita, Anul 2001, Mii persoane, 140.3
Total, Total, Harghita, Anul 2002, Mii persoane, 131
Total, Total, Harghita, Anul 2003, Mii persoane, 127.6
Total, Total, Harghita, Anul 2004, Mii persoane, 123.4
Total, Total, Harghita, Anul 2005, Mii persoane, 126.1
Total, Total, Harghita, Anul 2006, Mii persoane, 129.5
Total, Total, Harghita, Anul 2007, Mii persoane, 133.1
Total, Total, Harghita, Anul 2008, Mii persoane, 134
Total, Total, Mures, Anul 2001, Mii persoane, 239.6
Total, Total, Mures, Anul 2002, Mii persoane, 240.8
Total, Total, Mures, Anul 2003, Mii persoane, 243.5
Total, Total, Mures, Anul 2004, Mii persoane, 234.4
Total, Total, Mures, Anul 2005, Mii persoane, 236
Total, Total, Mures, Anul 2006, Mii persoane, 236.2
Total, Total, Mures, Anul 2007, Mii persoane, 238.1
Total, Total, Mures, Anul 2008, Mii persoane, 236.8
Total, Total, Sibiu, Anul 2001, Mii persoane, 168
Total, Total, Sibiu, Anul 2002, Mii persoane, 166.7
Total, Total, Sibiu, Anul 2003, Mii persoane, 163.3
Total, Total, Sibiu, Anul 2004, Mii persoane, 166
Total, Total, Sibiu, Anul 2005, Mii persoane, 165.1
Total, Total, Sibiu, Anul 2006, Mii persoane, 172.2
Total, Total, Sibiu, Anul 2007, Mii persoane, 179.7
Total, Total, Sibiu, Anul 2008, Mii persoane, 180.5
Total, Total, MACROREGIUNEA DOI, Anul 2001, Mii persoane, 2472.5
Total, Total, MACROREGIUNEA DOI, Anul 2002, Mii persoane, 2331
Total, Total, MACROREGIUNEA DOI, Anul 2003, Mii persoane, 2313.1
Total, Total, MACROREGIUNEA DOI, Anul 2004, Mii persoane, 2275
Total, Total, MACROREGIUNEA DOI, Anul 2005, Mii persoane, 2293.8
Total, Total, MACROREGIUNEA DOI, Anul 2006, Mii persoane, 2282
Total, Total, MACROREGIUNEA DOI, Anul 2007, Mii persoane, 2318.8
Total, Total, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 2306.5
Total, Total, Regiunea NORD-EST, Anul 2001, Mii persoane, 1401.8
Total, Total, Regiunea NORD-EST, Anul 2002, Mii persoane, 1308.9
Total, Total, Regiunea NORD-EST, Anul 2003, Mii persoane, 1290.9
Total, Total, Regiunea NORD-EST, Anul 2004, Mii persoane, 1253.3
Total, Total, Regiunea NORD-EST, Anul 2005, Mii persoane, 1265.6
Total, Total, Regiunea NORD-EST, Anul 2006, Mii persoane, 1246.2
Total, Total, Regiunea NORD-EST, Anul 2007, Mii persoane, 1262.3
Total, Total, Regiunea NORD-EST, Anul 2008, Mii persoane, 1248.9
Total, Total, Bacau, Anul 2001, Mii persoane, 252.9
Total, Total, Bacau, Anul 2002, Mii persoane, 235.3
Total, Total, Bacau, Anul 2003, Mii persoane, 234.3
Total, Total, Bacau, Anul 2004, Mii persoane, 225.3
Total, Total, Bacau, Anul 2005, Mii persoane, 224.8
Total, Total, Bacau, Anul 2006, Mii persoane, 224.2
Total, Total, Bacau, Anul 2007, Mii persoane, 225.3
Total, Total, Bacau, Anul 2008, Mii persoane, 223.7
Total, Total, Botosani, Anul 2001, Mii persoane, 172.1
Total, Total, Botosani, Anul 2002, Mii persoane, 160.8
Total, Total, Botosani, Anul 2003, Mii persoane, 154.7
Total, Total, Botosani, Anul 2004, Mii persoane, 152.1
Total, Total, Botosani, Anul 2005, Mii persoane, 153.3
Total, Total, Botosani, Anul 2006, Mii persoane, 151.1
Total, Total, Botosani, Anul 2007, Mii persoane, 153.5
Total, Total, Botosani, Anul 2008, Mii persoane, 149.3
Total, Total, Iasi, Anul 2001, Mii persoane, 316.2
Total, Total, Iasi, Anul 2002, Mii persoane, 302.8
Total, Total, Iasi, Anul 2003, Mii persoane, 298.2
Total, Total, Iasi, Anul 2004, Mii persoane, 290.5
Total, Total, Iasi, Anul 2005, Mii persoane, 296.4
Total, Total, Iasi, Anul 2006, Mii persoane, 291.7
Total, Total, Iasi, Anul 2007, Mii persoane, 297.6
Total, Total, Iasi, Anul 2008, Mii persoane, 295.8
Total, Total, Neamt, Anul 2001, Mii persoane, 223.4
Total, Total, Neamt, Anul 2002, Mii persoane, 206.3
Total, Total, Neamt, Anul 2003, Mii persoane, 202.8
Total, Total, Neamt, Anul 2004, Mii persoane, 199.4
Total, Total, Neamt, Anul 2005, Mii persoane, 200.9
Total, Total, Neamt, Anul 2006, Mii persoane, 196
Total, Total, Neamt, Anul 2007, Mii persoane, 196.4
Total, Total, Neamt, Anul 2008, Mii persoane, 193.8
Total, Total, Suceava, Anul 2001, Mii persoane, 271.5
Total, Total, Suceava, Anul 2002, Mii persoane, 254.7
Total, Total, Suceava, Anul 2003, Mii persoane, 250.9
Total, Total, Suceava, Anul 2004, Mii persoane, 243
Total, Total, Suceava, Anul 2005, Mii persoane, 243.4
Total, Total, Suceava, Anul 2006, Mii persoane, 239.2
Total, Total, Suceava, Anul 2007, Mii persoane, 243.6
Total, Total, Suceava, Anul 2008, Mii persoane, 241.5
Total, Total, Vaslui, Anul 2001, Mii persoane, 165.7
Total, Total, Vaslui, Anul 2002, Mii persoane, 149
Total, Total, Vaslui, Anul 2003, Mii persoane, 150
Total, Total, Vaslui, Anul 2004, Mii persoane, 143
Total, Total, Vaslui, Anul 2005, Mii persoane, 146.8
Total, Total, Vaslui, Anul 2006, Mii persoane, 144
Total, Total, Vaslui, Anul 2007, Mii persoane, 145.9
Total, Total, Vaslui, Anul 2008, Mii persoane, 144.8
Total, Total, Regiunea SUD-EST, Anul 2001, Mii persoane, 1070.7
Total, Total, Regiunea SUD-EST, Anul 2002, Mii persoane, 1022.1
Total, Total, Regiunea SUD-EST, Anul 2003, Mii persoane, 1022.2
Total, Total, Regiunea SUD-EST, Anul 2004, Mii persoane, 1021.7
Total, Total, Regiunea SUD-EST, Anul 2005, Mii persoane, 1028.2
Total, Total, Regiunea SUD-EST, Anul 2006, Mii persoane, 1035.8
Total, Total, Regiunea SUD-EST, Anul 2007, Mii persoane, 1056.5
Total, Total, Regiunea SUD-EST, Anul 2008, Mii persoane, 1057.6
Total, Total, Braila, Anul 2001, Mii persoane, 129.7
Total, Total, Braila, Anul 2002, Mii persoane, 127.7
Total, Total, Braila, Anul 2003, Mii persoane, 124.2
Total, Total, Braila, Anul 2004, Mii persoane, 121.8
Total, Total, Braila, Anul 2005, Mii persoane, 126.1
Total, Total, Braila, Anul 2006, Mii persoane, 127.9
Total, Total, Braila, Anul 2007, Mii persoane, 132.2
Total, Total, Braila, Anul 2008, Mii persoane, 132.3
Total, Total, Buzau, Anul 2001, Mii persoane, 191.6
Total, Total, Buzau, Anul 2002, Mii persoane, 180.6
Total, Total, Buzau, Anul 2003, Mii persoane, 185.1
Total, Total, Buzau, Anul 2004, Mii persoane, 182
Total, Total, Buzau, Anul 2005, Mii persoane, 180.5
Total, Total, Buzau, Anul 2006, Mii persoane, 179.9
Total, Total, Buzau, Anul 2007, Mii persoane, 181.9
Total, Total, Buzau, Anul 2008, Mii persoane, 178.6
Total, Total, Constanta, Anul 2001, Mii persoane, 276.5
Total, Total, Constanta, Anul 2002, Mii persoane, 274.2
Total, Total, Constanta, Anul 2003, Mii persoane, 276.1
Total, Total, Constanta, Anul 2004, Mii persoane, 284.8
Total, Total, Constanta, Anul 2005, Mii persoane, 286.9
Total, Total, Constanta, Anul 2006, Mii persoane, 294.5
Total, Total, Constanta, Anul 2007, Mii persoane, 302.8
Total, Total, Constanta, Anul 2008, Mii persoane, 309
Total, Total, Galati, Anul 2001, Mii persoane, 225.8
Total, Total, Galati, Anul 2002, Mii persoane, 206.6
Total, Total, Galati, Anul 2003, Mii persoane, 203.8
Total, Total, Galati, Anul 2004, Mii persoane, 204.7
Total, Total, Galati, Anul 2005, Mii persoane, 204.5
Total, Total, Galati, Anul 2006, Mii persoane, 203.1
Total, Total, Galati, Anul 2007, Mii persoane, 206.5
Total, Total, Galati, Anul 2008, Mii persoane, 206.3
Total, Total, Tulcea, Anul 2001, Mii persoane, 92.9
Total, Total, Tulcea, Anul 2002, Mii persoane, 86.3
Total, Total, Tulcea, Anul 2003, Mii persoane, 89.2
Total, Total, Tulcea, Anul 2004, Mii persoane, 86.7
Total, Total, Tulcea, Anul 2005, Mii persoane, 87.6
Total, Total, Tulcea, Anul 2006, Mii persoane, 87.9
Total, Total, Tulcea, Anul 2007, Mii persoane, 88.1
Total, Total, Tulcea, Anul 2008, Mii persoane, 86.8
Total, Total, Vrancea, Anul 2001, Mii persoane, 154.2
Total, Total, Vrancea, Anul 2002, Mii persoane, 146.7
Total, Total, Vrancea, Anul 2003, Mii persoane, 143.8
Total, Total, Vrancea, Anul 2004, Mii persoane, 141.7
Total, Total, Vrancea, Anul 2005, Mii persoane, 142.6
Total, Total, Vrancea, Anul 2006, Mii persoane, 142.5
Total, Total, Vrancea, Anul 2007, Mii persoane, 145
Total, Total, Vrancea, Anul 2008, Mii persoane, 144.6
Total, Total, MACROREGIUNEA TREI, Anul 2001, Mii persoane, 2115.2
Total, Total, MACROREGIUNEA TREI, Anul 2002, Mii persoane, 2128
Total, Total, MACROREGIUNEA TREI, Anul 2003, Mii persoane, 2151.4
Total, Total, MACROREGIUNEA TREI, Anul 2004, Mii persoane, 2163.9
Total, Total, MACROREGIUNEA TREI, Anul 2005, Mii persoane, 2251
Total, Total, MACROREGIUNEA TREI, Anul 2006, Mii persoane, 2314.6
Total, Total, MACROREGIUNEA TREI, Anul 2007, Mii persoane, 2426.5
Total, Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 2482.7
Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Mii persoane, 1270.4
Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Mii persoane, 1221.6
Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Mii persoane, 1207.3
Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Mii persoane, 1183
Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Mii persoane, 1188.9
Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Mii persoane, 1184.5
Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Mii persoane, 1214.8
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 1201
Total, Total, Arges, Anul 2001, Mii persoane, 271.5
Total, Total, Arges, Anul 2002, Mii persoane, 263.3
Total, Total, Arges, Anul 2003, Mii persoane, 256.5
Total, Total, Arges, Anul 2004, Mii persoane, 252
Total, Total, Arges, Anul 2005, Mii persoane, 252.7
Total, Total, Arges, Anul 2006, Mii persoane, 249.1
Total, Total, Arges, Anul 2007, Mii persoane, 259.7
Total, Total, Arges, Anul 2008, Mii persoane, 256
Total, Total, Calarasi, Anul 2001, Mii persoane, 109.3
Total, Total, Calarasi, Anul 2002, Mii persoane, 101
Total, Total, Calarasi, Anul 2003, Mii persoane, 101.4
Total, Total, Calarasi, Anul 2004, Mii persoane, 100.4
Total, Total, Calarasi, Anul 2005, Mii persoane, 101.6
Total, Total, Calarasi, Anul 2006, Mii persoane, 101.3
Total, Total, Calarasi, Anul 2007, Mii persoane, 101.5
Total, Total, Calarasi, Anul 2008, Mii persoane, 101.3
Total, Total, Dambovita, Anul 2001, Mii persoane, 205.5
Total, Total, Dambovita, Anul 2002, Mii persoane, 203.4
Total, Total, Dambovita, Anul 2003, Mii persoane, 200.3
Total, Total, Dambovita, Anul 2004, Mii persoane, 199.4
Total, Total, Dambovita, Anul 2005, Mii persoane, 199.1
Total, Total, Dambovita, Anul 2006, Mii persoane, 198.5
Total, Total, Dambovita, Anul 2007, Mii persoane, 202.8
Total, Total, Dambovita, Anul 2008, Mii persoane, 198.5
Total, Total, Giurgiu, Anul 2001, Mii persoane, 100
Total, Total, Giurgiu, Anul 2002, Mii persoane, 91.2
Total, Total, Giurgiu, Anul 2003, Mii persoane, 90.1
Total, Total, Giurgiu, Anul 2004, Mii persoane, 87.2
Total, Total, Giurgiu, Anul 2005, Mii persoane, 88.2
Total, Total, Giurgiu, Anul 2006, Mii persoane, 86.1
Total, Total, Giurgiu, Anul 2007, Mii persoane, 87.6
Total, Total, Giurgiu, Anul 2008, Mii persoane, 88
Total, Total, Ialomita, Anul 2001, Mii persoane, 102.1
Total, Total, Ialomita, Anul 2002, Mii persoane, 99.5
Total, Total, Ialomita, Anul 2003, Mii persoane, 98.2
Total, Total, Ialomita, Anul 2004, Mii persoane, 96.4
Total, Total, Ialomita, Anul 2005, Mii persoane, 96.4
Total, Total, Ialomita, Anul 2006, Mii persoane, 97.7
Total, Total, Ialomita, Anul 2007, Mii persoane, 100.7
Total, Total, Ialomita, Anul 2008, Mii persoane, 100.1
Total, Total, Prahova, Anul 2001, Mii persoane, 295.3
Total, Total, Prahova, Anul 2002, Mii persoane, 289.2
Total, Total, Prahova, Anul 2003, Mii persoane, 292.8
Total, Total, Prahova, Anul 2004, Mii persoane, 288.8
Total, Total, Prahova, Anul 2005, Mii persoane, 291.5
Total, Total, Prahova, Anul 2006, Mii persoane, 294.1
Total, Total, Prahova, Anul 2007, Mii persoane, 303.6
Total, Total, Prahova, Anul 2008, Mii persoane, 302.3
Total, Total, Teleorman, Anul 2001, Mii persoane, 186.7
Total, Total, Teleorman, Anul 2002, Mii persoane, 174
Total, Total, Teleorman, Anul 2003, Mii persoane, 168
Total, Total, Teleorman, Anul 2004, Mii persoane, 158.8
Total, Total, Teleorman, Anul 2005, Mii persoane, 159.4
Total, Total, Teleorman, Anul 2006, Mii persoane, 157.7
Total, Total, Teleorman, Anul 2007, Mii persoane, 158.9
Total, Total, Teleorman, Anul 2008, Mii persoane, 154.8
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Mii persoane, 844.8
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Mii persoane, 906.4
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Mii persoane, 944.1
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Mii persoane, 980.9
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Mii persoane, 1062.1
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Mii persoane, 1130.1
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Mii persoane, 1211.7
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 1281.7
Total, Total, Ilfov, Anul 2001, Mii persoane, 108.8
Total, Total, Ilfov, Anul 2002, Mii persoane, 110.2
Total, Total, Ilfov, Anul 2003, Mii persoane, 107.7
Total, Total, Ilfov, Anul 2004, Mii persoane, 113.2
Total, Total, Ilfov, Anul 2005, Mii persoane, 130.2
Total, Total, Ilfov, Anul 2006, Mii persoane, 139.7
Total, Total, Ilfov, Anul 2007, Mii persoane, 149.4
Total, Total, Ilfov, Anul 2008, Mii persoane, 159.6
Total, Total, Municipiul Bucuresti, Anul 2001, Mii persoane, 736
Total, Total, Municipiul Bucuresti, Anul 2002, Mii persoane, 796.2
Total, Total, Municipiul Bucuresti, Anul 2003, Mii persoane, 836.4
Total, Total, Municipiul Bucuresti, Anul 2004, Mii persoane, 867.7
Total, Total, Municipiul Bucuresti, Anul 2005, Mii persoane, 931.9
Total, Total, Municipiul Bucuresti, Anul 2006, Mii persoane, 990.4
Total, Total, Municipiul Bucuresti, Anul 2007, Mii persoane, 1062.3
Total, Total, Municipiul Bucuresti, Anul 2008, Mii persoane, 1122.1
Total, Total, MACROREGIUNEA PATRU, Anul 2001, Mii persoane, 1753.1
Total, Total, MACROREGIUNEA PATRU, Anul 2002, Mii persoane, 1694.7
Total, Total, MACROREGIUNEA PATRU, Anul 2003, Mii persoane, 1684.7
Total, Total, MACROREGIUNEA PATRU, Anul 2004, Mii persoane, 1666.8
Total, Total, MACROREGIUNEA PATRU, Anul 2005, Mii persoane, 1692
Total, Total, MACROREGIUNEA PATRU, Anul 2006, Mii persoane, 1692.4
Total, Total, MACROREGIUNEA PATRU, Anul 2007, Mii persoane, 1744.2
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 1723.4
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Mii persoane, 944.3
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Mii persoane, 879.4
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Mii persoane, 873.7
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Mii persoane, 848.6
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Mii persoane, 857.1
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Mii persoane, 853
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Mii persoane, 875
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 867
Total, Total, Dolj, Anul 2001, Mii persoane, 293.9
Total, Total, Dolj, Anul 2002, Mii persoane, 276
Total, Total, Dolj, Anul 2003, Mii persoane, 270.6
Total, Total, Dolj, Anul 2004, Mii persoane, 263.8
Total, Total, Dolj, Anul 2005, Mii persoane, 266.6
Total, Total, Dolj, Anul 2006, Mii persoane, 268.5
Total, Total, Dolj, Anul 2007, Mii persoane, 276.3
Total, Total, Dolj, Anul 2008, Mii persoane, 276.6
Total, Total, Gorj, Anul 2001, Mii persoane, 155.6
Total, Total, Gorj, Anul 2002, Mii persoane, 145.3
Total, Total, Gorj, Anul 2003, Mii persoane, 144.9
Total, Total, Gorj, Anul 2004, Mii persoane, 142.4
Total, Total, Gorj, Anul 2005, Mii persoane, 138.5
Total, Total, Gorj, Anul 2006, Mii persoane, 136.4
Total, Total, Gorj, Anul 2007, Mii persoane, 139.6
Total, Total, Gorj, Anul 2008, Mii persoane, 139.4
Total, Total, Mehedinti, Anul 2001, Mii persoane, 129.3
Total, Total, Mehedinti, Anul 2002, Mii persoane, 115.6
Total, Total, Mehedinti, Anul 2003, Mii persoane, 115.6
Total, Total, Mehedinti, Anul 2004, Mii persoane, 110.1
Total, Total, Mehedinti, Anul 2005, Mii persoane, 112
Total, Total, Mehedinti, Anul 2006, Mii persoane, 111.7
Total, Total, Mehedinti, Anul 2007, Mii persoane, 113.2
Total, Total, Mehedinti, Anul 2008, Mii persoane, 111.8
Total, Total, Olt, Anul 2001, Mii persoane, 193.1
Total, Total, Olt, Anul 2002, Mii persoane, 175.8
Total, Total, Olt, Anul 2003, Mii persoane, 174.9
Total, Total, Olt, Anul 2004, Mii persoane, 169.2
Total, Total, Olt, Anul 2005, Mii persoane, 173.1
Total, Total, Olt, Anul 2006, Mii persoane, 169.5
Total, Total, Olt, Anul 2007, Mii persoane, 173.7
Total, Total, Olt, Anul 2008, Mii persoane, 169.3
Total, Total, Valcea, Anul 2001, Mii persoane, 172.4
Total, Total, Valcea, Anul 2002, Mii persoane, 166.7
Total, Total, Valcea, Anul 2003, Mii persoane, 167.7
Total, Total, Valcea, Anul 2004, Mii persoane, 163.1
Total, Total, Valcea, Anul 2005, Mii persoane, 166.9
Total, Total, Valcea, Anul 2006, Mii persoane, 166.9
Total, Total, Valcea, Anul 2007, Mii persoane, 172.2
Total, Total, Valcea, Anul 2008, Mii persoane, 169.9
Total, Total, Regiunea VEST, Anul 2001, Mii persoane, 808.8
Total, Total, Regiunea VEST, Anul 2002, Mii persoane, 815.3
Total, Total, Regiunea VEST, Anul 2003, Mii persoane, 811
Total, Total, Regiunea VEST, Anul 2004, Mii persoane, 818.2
Total, Total, Regiunea VEST, Anul 2005, Mii persoane, 834.9
Total, Total, Regiunea VEST, Anul 2006, Mii persoane, 839.4
Total, Total, Regiunea VEST, Anul 2007, Mii persoane, 869.2
Total, Total, Regiunea VEST, Anul 2008, Mii persoane, 856.4
Total, Total, Arad, Anul 2001, Mii persoane, 191.9
Total, Total, Arad, Anul 2002, Mii persoane, 193.3
Total, Total, Arad, Anul 2003, Mii persoane, 197.2
Total, Total, Arad, Anul 2004, Mii persoane, 198.9
Total, Total, Arad, Anul 2005, Mii persoane, 202.6
Total, Total, Arad, Anul 2006, Mii persoane, 204.6
Total, Total, Arad, Anul 2007, Mii persoane, 211.6
Total, Total, Arad, Anul 2008, Mii persoane, 208.2
Total, Total, Caras-Severin, Anul 2001, Mii persoane, 134.5
Total, Total, Caras-Severin, Anul 2002, Mii persoane, 124.4
Total, Total, Caras-Severin, Anul 2003, Mii persoane, 124.1
Total, Total, Caras-Severin, Anul 2004, Mii persoane, 118.6
Total, Total, Caras-Severin, Anul 2005, Mii persoane, 119.7
Total, Total, Caras-Severin, Anul 2006, Mii persoane, 118.2
Total, Total, Caras-Severin, Anul 2007, Mii persoane, 122.6
Total, Total, Caras-Severin, Anul 2008, Mii persoane, 121
Total, Total, Hunedoara, Anul 2001, Mii persoane, 191.3
