
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Total, Covasna, Anul 1993, Mii persoane, 106
Total, Total, Covasna, Anul 1994, Mii persoane, 97.5
Total, Total, Covasna, Anul 1995, Mii persoane, 93.4
Total, Total, Covasna, Anul 1996, Mii persoane, 97.7
Total, Total, Covasna, Anul 1997, Mii persoane, 102.1
Total, Total, Covasna, Anul 1998, Mii persoane, 96.9
Total, Total, Covasna, Anul 1999, Mii persoane, 88
Total, Total, Covasna, Anul 2000, Mii persoane, 90.1
Total, Total, Harghita, Anul 1992, Mii persoane, 161.2
Total, Total, Harghita, Anul 1993, Mii persoane, 155.9
Total, Total, Harghita, Anul 1994, Mii persoane, 158.2
Total, Total, Harghita, Anul 1995, Mii persoane, 151
Total, Total, Harghita, Anul 1996, Mii persoane, 151.4
Total, Total, Harghita, Anul 1997, Mii persoane, 149.9
Total, Total, Harghita, Anul 1998, Mii persoane, 144.7
Total, Total, Harghita, Anul 1999, Mii persoane, 140.7
Total, Total, Harghita, Anul 2000, Mii persoane, 146
Total, Total, Mures, Anul 1992, Mii persoane, 271.9
Total, Total, Mures, Anul 1993, Mii persoane, 259.8
Total, Total, Mures, Anul 1994, Mii persoane, 268.9
Total, Total, Mures, Anul 1995, Mii persoane, 260.4
Total, Total, Mures, Anul 1996, Mii persoane, 263.5
Total, Total, Mures, Anul 1997, Mii persoane, 250.6
Total, Total, Mures, Anul 1998, Mii persoane, 243.4
Total, Total, Mures, Anul 1999, Mii persoane, 235.7
Total, Total, Mures, Anul 2000, Mii persoane, 245.7
Total, Total, Sibiu, Anul 1992, Mii persoane, 197.9
Total, Total, Sibiu, Anul 1993, Mii persoane, 195.1
Total, Total, Sibiu, Anul 1994, Mii persoane, 186
Total, Total, Sibiu, Anul 1995, Mii persoane, 181.5
Total, Total, Sibiu, Anul 1996, Mii persoane, 186.2
Total, Total, Sibiu, Anul 1997, Mii persoane, 174.3
Total, Total, Sibiu, Anul 1998, Mii persoane, 168.6
Total, Total, Sibiu, Anul 1999, Mii persoane, 169.8
Total, Total, Sibiu, Anul 2000, Mii persoane, 166
Total, Total, MACROREGIUNEA DOI, Anul 1992, Mii persoane, 2935.5
Total, Total, MACROREGIUNEA DOI, Anul 1993, Mii persoane, 2826.8
Total, Total, MACROREGIUNEA DOI, Anul 1994, Mii persoane, 2809.4
Total, Total, MACROREGIUNEA DOI, Anul 1995, Mii persoane, 2706.7
Total, Total, MACROREGIUNEA DOI, Anul 1996, Mii persoane, 2709.2
Total, Total, MACROREGIUNEA DOI, Anul 1997, Mii persoane, 2597.8
Total, Total, MACROREGIUNEA DOI, Anul 1998, Mii persoane, 2514.7
Total, Total, MACROREGIUNEA DOI, Anul 1999, Mii persoane, 2457.3
Total, Total, MACROREGIUNEA DOI, Anul 2000, Mii persoane, 2499.7
Total, Total, Regiunea NORD-EST, Anul 1992, Mii persoane, 1606.3
Total, Total, Regiunea NORD-EST, Anul 1993, Mii persoane, 1543.7
Total, Total, Regiunea NORD-EST, Anul 1994, Mii persoane, 1546.8
Total, Total, Regiunea NORD-EST, Anul 1995, Mii persoane, 1495.8
Total, Total, Regiunea NORD-EST, Anul 1996, Mii persoane, 1505.5
Total, Total, Regiunea NORD-EST, Anul 1997, Mii persoane, 1443.7
Total, Total, Regiunea NORD-EST, Anul 1998, Mii persoane, 1408.1
Total, Total, Regiunea NORD-EST, Anul 1999, Mii persoane, 1383.4
Total, Total, Regiunea NORD-EST, Anul 2000, Mii persoane, 1409.1
Total, Total, Bacau, Anul 1992, Mii persoane, 301.5
Total, Total, Bacau, Anul 1993, Mii persoane, 288.9
Total, Total, Bacau, Anul 1994, Mii persoane, 283.4
Total, Total, Bacau, Anul 1995, Mii persoane, 285.8
Total, Total, Bacau, Anul 1996, Mii persoane, 295.6
Total, Total, Bacau, Anul 1997, Mii persoane, 280.4
Total, Total, Bacau, Anul 1998, Mii persoane, 263.5
Total, Total, Bacau, Anul 1999, Mii persoane, 239.9
Total, Total, Bacau, Anul 2000, Mii persoane, 249.8
Total, Total, Botosani, Anul 1992, Mii persoane, 198.4
Total, Total, Botosani, Anul 1993, Mii persoane, 195.8
Total, Total, Botosani, Anul 1994, Mii persoane, 186.6
Total, Total, Botosani, Anul 1995, Mii persoane, 175.1
Total, Total, Botosani, Anul 1996, Mii persoane, 180.6
Total, Total, Botosani, Anul 1997, Mii persoane, 173.9
Total, Total, Botosani, Anul 1998, Mii persoane, 166.7
Total, Total, Botosani, Anul 1999, Mii persoane, 175
Total, Total, Botosani, Anul 2000, Mii persoane, 175.5
Total, Total, Iasi, Anul 1992, Mii persoane, 344.2
Total, Total, Iasi, Anul 1993, Mii persoane, 337.8
Total, Total, Iasi, Anul 1994, Mii persoane, 345.3
Total, Total, Iasi, Anul 1995, Mii persoane, 342.6
Total, Total, Iasi, Anul 1996, Mii persoane, 331.3
Total, Total, Iasi, Anul 1997, Mii persoane, 306.4
Total, Total, Iasi, Anul 1998, Mii persoane, 315.2
Total, Total, Iasi, Anul 1999, Mii persoane, 309.7
Total, Total, Iasi, Anul 2000, Mii persoane, 318
Total, Total, Neamt, Anul 1992, Mii persoane, 261.1
Total, Total, Neamt, Anul 1993, Mii persoane, 243.3
Total, Total, Neamt, Anul 1994, Mii persoane, 243.5
Total, Total, Neamt, Anul 1995, Mii persoane, 235.2
Total, Total, Neamt, Anul 1996, Mii persoane, 237
Total, Total, Neamt, Anul 1997, Mii persoane, 227.1
Total, Total, Neamt, Anul 1998, Mii persoane, 222.1
Total, Total, Neamt, Anul 1999, Mii persoane, 218.5
Total, Total, Neamt, Anul 2000, Mii persoane, 224.8
Total, Total, Suceava, Anul 1992, Mii persoane, 312.6
Total, Total, Suceava, Anul 1993, Mii persoane, 294.7
Total, Total, Suceava, Anul 1994, Mii persoane, 303.2
Total, Total, Suceava, Anul 1995, Mii persoane, 284.4
Total, Total, Suceava, Anul 1996, Mii persoane, 284.3
Total, Total, Suceava, Anul 1997, Mii persoane, 279.2
Total, Total, Suceava, Anul 1998, Mii persoane, 272.9
Total, Total, Suceava, Anul 1999, Mii persoane, 273.5
Total, Total, Suceava, Anul 2000, Mii persoane, 273.4
Total, Total, Vaslui, Anul 1992, Mii persoane, 188.5
Total, Total, Vaslui, Anul 1993, Mii persoane, 183.2
Total, Total, Vaslui, Anul 1994, Mii persoane, 184.8
Total, Total, Vaslui, Anul 1995, Mii persoane, 172.7
Total, Total, Vaslui, Anul 1996, Mii persoane, 176.7
Total, Total, Vaslui, Anul 1997, Mii persoane, 176.7
Total, Total, Vaslui, Anul 1998, Mii persoane, 167.7
Total, Total, Vaslui, Anul 1999, Mii persoane, 166.8
Total, Total, Vaslui, Anul 2000, Mii persoane, 167.6
Total, Total, Regiunea SUD-EST, Anul 1992, Mii persoane, 1329.2
Total, Total, Regiunea SUD-EST, Anul 1993, Mii persoane, 1283.1
Total, Total, Regiunea SUD-EST, Anul 1994, Mii persoane, 1262.6
Total, Total, Regiunea SUD-EST, Anul 1995, Mii persoane, 1210.9
Total, Total, Regiunea SUD-EST, Anul 1996, Mii persoane, 1203.7
Total, Total, Regiunea SUD-EST, Anul 1997, Mii persoane, 1154.1
Total, Total, Regiunea SUD-EST, Anul 1998, Mii persoane, 1106.6
Total, Total, Regiunea SUD-EST, Anul 1999, Mii persoane, 1073.9
Total, Total, Regiunea SUD-EST, Anul 2000, Mii persoane, 1090.6
Total, Total, Braila, Anul 1992, Mii persoane, 172.6
Total, Total, Braila, Anul 1993, Mii persoane, 163.8
Total, Total, Braila, Anul 1994, Mii persoane, 167.6
Total, Total, Braila, Anul 1995, Mii persoane, 152.4
Total, Total, Braila, Anul 1996, Mii persoane, 149.6
Total, Total, Braila, Anul 1997, Mii persoane, 134.9
Total, Total, Braila, Anul 1998, Mii persoane, 133.4
Total, Total, Braila, Anul 1999, Mii persoane, 128.8
Total, Total, Braila, Anul 2000, Mii persoane, 144.2
Total, Total, Buzau, Anul 1992, Mii persoane, 233.6
Total, Total, Buzau, Anul 1993, Mii persoane, 231.9
Total, Total, Buzau, Anul 1994, Mii persoane, 215.8
Total, Total, Buzau, Anul 1995, Mii persoane, 195.6
Total, Total, Buzau, Anul 1996, Mii persoane, 205.4
Total, Total, Buzau, Anul 1997, Mii persoane, 208.2
Total, Total, Buzau, Anul 1998, Mii persoane, 188.7
Total, Total, Buzau, Anul 1999, Mii persoane, 192.6
Total, Total, Buzau, Anul 2000, Mii persoane, 188.6
Total, Total, Constanta, Anul 1992, Mii persoane, 353.1
Total, Total, Constanta, Anul 1993, Mii persoane, 342
Total, Total, Constanta, Anul 1994, Mii persoane, 335.5
Total, Total, Constanta, Anul 1995, Mii persoane, 308.5
Total, Total, Constanta, Anul 1996, Mii persoane, 302.5
Total, Total, Constanta, Anul 1997, Mii persoane, 312.2
Total, Total, Constanta, Anul 1998, Mii persoane, 285.1
Total, Total, Constanta, Anul 1999, Mii persoane, 276.4
Total, Total, Constanta, Anul 2000, Mii persoane, 275.6
Total, Total, Galati, Anul 1992, Mii persoane, 287.6
Total, Total, Galati, Anul 1993, Mii persoane, 274.6
Total, Total, Galati, Anul 1994, Mii persoane, 269
Total, Total, Galati, Anul 1995, Mii persoane, 263.2
Total, Total, Galati, Anul 1996, Mii persoane, 262.3
Total, Total, Galati, Anul 1997, Mii persoane, 250.2
Total, Total, Galati, Anul 1998, Mii persoane, 251.1
Total, Total, Galati, Anul 1999, Mii persoane, 232.1
Total, Total, Galati, Anul 2000, Mii persoane, 232.1
Total, Total, Tulcea, Anul 1992, Mii persoane, 109.5
Total, Total, Tulcea, Anul 1993, Mii persoane, 101.4
Total, Total, Tulcea, Anul 1994, Mii persoane, 104.6
Total, Total, Tulcea, Anul 1995, Mii persoane, 112.1
Total, Total, Tulcea, Anul 1996, Mii persoane, 109.1
Total, Total, Tulcea, Anul 1997, Mii persoane, 92.8
Total, Total, Tulcea, Anul 1998, Mii persoane, 96.2
Total, Total, Tulcea, Anul 1999, Mii persoane, 90.8
Total, Total, Tulcea, Anul 2000, Mii persoane, 93.3
Total, Total, Vrancea, Anul 1992, Mii persoane, 172.8
Total, Total, Vrancea, Anul 1993, Mii persoane, 169.4
Total, Total, Vrancea, Anul 1994, Mii persoane, 170.1
Total, Total, Vrancea, Anul 1995, Mii persoane, 179.1
Total, Total, Vrancea, Anul 1996, Mii persoane, 174.8
Total, Total, Vrancea, Anul 1997, Mii persoane, 155.8
Total, Total, Vrancea, Anul 1998, Mii persoane, 152.1
Total, Total, Vrancea, Anul 1999, Mii persoane, 153.2
Total, Total, Vrancea, Anul 2000, Mii persoane, 156.8
Total, Total, MACROREGIUNEA TREI, Anul 1992, Mii persoane, 2803.5
Total, Total, MACROREGIUNEA TREI, Anul 1993, Mii persoane, 2672.6
Total, Total, MACROREGIUNEA TREI, Anul 1994, Mii persoane, 2619.2
Total, Total, MACROREGIUNEA TREI, Anul 1995, Mii persoane, 2423.5
Total, Total, MACROREGIUNEA TREI, Anul 1996, Mii persoane, 2350
Total, Total, MACROREGIUNEA TREI, Anul 1997, Mii persoane, 2250.9
Total, Total, MACROREGIUNEA TREI, Anul 1998, Mii persoane, 2215.2
Total, Total, MACROREGIUNEA TREI, Anul 1999, Mii persoane, 2016.7
Total, Total, MACROREGIUNEA TREI, Anul 2000, Mii persoane, 2121.1
Total, Total, Regiunea SUD-MUNTENIA, Anul 1992, Mii persoane, 1602.5
Total, Total, Regiunea SUD-MUNTENIA, Anul 1993, Mii persoane, 1576.2
Total, Total, Regiunea SUD-MUNTENIA, Anul 1994, Mii persoane, 1527.1
Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Mii persoane, 1454.1
Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Mii persoane, 1439
Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Mii persoane, 1384.1
Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Mii persoane, 1335.2
Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Mii persoane, 1294.9
Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Mii persoane, 1293.8
Total, Total, Arges, Anul 1992, Mii persoane, 329
Total, Total, Arges, Anul 1993, Mii persoane, 317.6
Total, Total, Arges, Anul 1994, Mii persoane, 310.7
Total, Total, Arges, Anul 1995, Mii persoane, 303.8
Total, Total, Arges, Anul 1996, Mii persoane, 302.8
Total, Total, Arges, Anul 1997, Mii persoane, 288
Total, Total, Arges, Anul 1998, Mii persoane, 286.4
Total, Total, Arges, Anul 1999, Mii persoane, 278
Total, Total, Arges, Anul 2000, Mii persoane, 284.4
Total, Total, Calarasi, Anul 1992, Mii persoane, 146.3
Total, Total, Calarasi, Anul 1993, Mii persoane, 146
Total, Total, Calarasi, Anul 1994, Mii persoane, 134.2
Total, Total, Calarasi, Anul 1995, Mii persoane, 123.2
Total, Total, Calarasi, Anul 1996, Mii persoane, 121.6
Total, Total, Calarasi, Anul 1997, Mii persoane, 121.2
Total, Total, Calarasi, Anul 1998, Mii persoane, 121.1
Total, Total, Calarasi, Anul 1999, Mii persoane, 111
Total, Total, Calarasi, Anul 2000, Mii persoane, 113.3
Total, Total, Dambovita, Anul 1992, Mii persoane, 256.2
Total, Total, Dambovita, Anul 1993, Mii persoane, 258.4
Total, Total, Dambovita, Anul 1994, Mii persoane, 242.2
Total, Total, Dambovita, Anul 1995, Mii persoane, 225.3
Total, Total, Dambovita, Anul 1996, Mii persoane, 221.9
Total, Total, Dambovita, Anul 1997, Mii persoane, 223.7
Total, Total, Dambovita, Anul 1998, Mii persoane, 214.8
Total, Total, Dambovita, Anul 1999, Mii persoane, 207.9
Total, Total, Dambovita, Anul 2000, Mii persoane, 208
Total, Total, Giurgiu, Anul 1992, Mii persoane, 120
Total, Total, Giurgiu, Anul 1993, Mii persoane, 113.2
Total, Total, Giurgiu, Anul 1994, Mii persoane, 113.9
Total, Total, Giurgiu, Anul 1995, Mii persoane, 103.8
Total, Total, Giurgiu, Anul 1996, Mii persoane, 107.9
Total, Total, Giurgiu, Anul 1997, Mii persoane, 106.7
Total, Total, Giurgiu, Anul 1998, Mii persoane, 100
Total, Total, Giurgiu, Anul 1999, Mii persoane, 101
Total, Total, Giurgiu, Anul 2000, Mii persoane, 102
Total, Total, Ialomita, Anul 1992, Mii persoane, 131.1
Total, Total, Ialomita, Anul 1993, Mii persoane, 130.5
Total, Total, Ialomita, Anul 1994, Mii persoane, 125.8
Total, Total, Ialomita, Anul 1995, Mii persoane, 120.5
Total, Total, Ialomita, Anul 1996, Mii persoane, 121.3
Total, Total, Ialomita, Anul 1997, Mii persoane, 116.7
Total, Total, Ialomita, Anul 1998, Mii persoane, 107.5
Total, Total, Ialomita, Anul 1999, Mii persoane, 106.1
Total, Total, Ialomita, Anul 2000, Mii persoane, 102.5
Total, Total, Prahova, Anul 1992, Mii persoane, 408.3
Total, Total, Prahova, Anul 1993, Mii persoane, 400.2
Total, Total, Prahova, Anul 1994, Mii persoane, 391.4
Total, Total, Prahova, Anul 1995, Mii persoane, 382
Total, Total, Prahova, Anul 1996, Mii persoane, 364.4
Total, Total, Prahova, Anul 1997, Mii persoane, 337.1
Total, Total, Prahova, Anul 1998, Mii persoane, 316
Total, Total, Prahova, Anul 1999, Mii persoane, 298.1
Total, Total, Prahova, Anul 2000, Mii persoane, 291.1
Total, Total, Teleorman, Anul 1992, Mii persoane, 211.6
Total, Total, Teleorman, Anul 1993, Mii persoane, 210.3
Total, Total, Teleorman, Anul 1994, Mii persoane, 208.9
Total, Total, Teleorman, Anul 1995, Mii persoane, 195.5
Total, Total, Teleorman, Anul 1996, Mii persoane, 199.1
Total, Total, Teleorman, Anul 1997, Mii persoane, 190.7
Total, Total, Teleorman, Anul 1998, Mii persoane, 189.4
Total, Total, Teleorman, Anul 1999, Mii persoane, 192.8
Total, Total, Teleorman, Anul 2000, Mii persoane, 192.5
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Mii persoane, 1201
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Mii persoane, 1096.4
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Mii persoane, 1092.1
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Mii persoane, 969.4
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Mii persoane, 911
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Mii persoane, 866.8
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Mii persoane, 880
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Mii persoane, 721.8
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Mii persoane, 827.3
Total, Total, Ilfov, Anul 1996, Mii persoane, 110.4
Total, Total, Ilfov, Anul 1997, Mii persoane, 107.5
Total, Total, Ilfov, Anul 1998, Mii persoane, 99.9
Total, Total, Ilfov, Anul 1999, Mii persoane, 101
Total, Total, Ilfov, Anul 2000, Mii persoane, 105.2
Total, Total, Municipiul Bucuresti, Anul 1996, Mii persoane, 800.6
Total, Total, Municipiul Bucuresti, Anul 1997, Mii persoane, 759.3
Total, Total, Municipiul Bucuresti, Anul 1998, Mii persoane, 780.1
Total, Total, Municipiul Bucuresti, Anul 1999, Mii persoane, 620.8
Total, Total, Municipiul Bucuresti, Anul 2000, Mii persoane, 722.1
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1992, Mii persoane, 1201
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1993, Mii persoane, 1096.4
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1994, Mii persoane, 1092.1
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1995, Mii persoane, 969.4
Total, Total, MACROREGIUNEA PATRU, Anul 1992, Mii persoane, 2102.6
Total, Total, MACROREGIUNEA PATRU, Anul 1993, Mii persoane, 2018.6
Total, Total, MACROREGIUNEA PATRU, Anul 1994, Mii persoane, 2052.9
Total, Total, MACROREGIUNEA PATRU, Anul 1995, Mii persoane, 1977.7
Total, Total, MACROREGIUNEA PATRU, Anul 1996, Mii persoane, 1925.1
Total, Total, MACROREGIUNEA PATRU, Anul 1997, Mii persoane, 1885
Total, Total, MACROREGIUNEA PATRU, Anul 1998, Mii persoane, 1791.1
Total, Total, MACROREGIUNEA PATRU, Anul 1999, Mii persoane, 1736.3
Total, Total, MACROREGIUNEA PATRU, Anul 2000, Mii persoane, 1774.6
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Mii persoane, 1126.6
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Mii persoane, 1076.4
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Mii persoane, 1099
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Mii persoane, 1037.6
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Mii persoane, 1010.2
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Mii persoane, 1003.6
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Mii persoane, 958.5
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Mii persoane, 955.9
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Mii persoane, 953.5
Total, Total, Dolj, Anul 1992, Mii persoane, 344
Total, Total, Dolj, Anul 1993, Mii persoane, 336.3
Total, Total, Dolj, Anul 1994, Mii persoane, 332.3
Total, Total, Dolj, Anul 1995, Mii persoane, 301.7
Total, Total, Dolj, Anul 1996, Mii persoane, 300.2
Total, Total, Dolj, Anul 1997, Mii persoane, 307.4
Total, Total, Dolj, Anul 1998, Mii persoane, 291.3
Total, Total, Dolj, Anul 1999, Mii persoane, 302.6
Total, Total, Dolj, Anul 2000, Mii persoane, 298.8
Total, Total, Gorj, Anul 1992, Mii persoane, 208.9
Total, Total, Gorj, Anul 1993, Mii persoane, 199.3
Total, Total, Gorj, Anul 1994, Mii persoane, 208.2
Total, Total, Gorj, Anul 1995, Mii persoane, 198.8
Total, Total, Gorj, Anul 1996, Mii persoane, 187.1
Total, Total, Gorj, Anul 1997, Mii persoane, 170
Total, Total, Gorj, Anul 1998, Mii persoane, 154.2
Total, Total, Gorj, Anul 1999, Mii persoane, 151.9
Total, Total, Gorj, Anul 2000, Mii persoane, 155.3
Total, Total, Mehedinti, Anul 1992, Mii persoane, 140.7
Total, Total, Mehedinti, Anul 1993, Mii persoane, 132.6
